"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ERMITA, EDUARDO RAMOS           GENERAL ED                          LAKAS NUCD-UMDP         103,624   May 12,1995","1/22","BATANGAS","04","congressman","1ST DISTRICT"," 103,624","May 12,1995","ERMITA, EDUARDO RAMOS","LAKAS NUCD-UMDP",TRUE
"2","PEREZ, HERNANDO BENITO          NANI                                LABAN (LDP)             116,607   May 12,1995","1/22","BATANGAS","04","congressman","2ND DISTRICT"," 116,607","May 12,1995","PEREZ, HERNANDO BENITO","LABAN (LDP)",TRUE
"3","GUTIERREZ, LUIS ALCANTARA       LUIS                                INDEPENDENT              3,613","1/22","BATANGAS","04","congressman","2ND DISTRICT"," 3,613",NA,"GUTIERREZ, LUIS ALCANTARA","INDEPENDENT",TRUE
"4","TRINIDAD, MILAGROS LAUREL       LALLY                               NPC                      83,352   May 12,1995","1/22","BATANGAS","04","congressman","3RD DISTRICT"," 83,352","May 12,1995","TRINIDAD, MILAGROS LAUREL","NPC",TRUE
"5","CARANDANG, DANTE ANGELES        ATTORNEY                            LM                       31,041","1/22","BATANGAS","04","congressman","3RD DISTRICT"," 31,041",NA,"CARANDANG, DANTE ANGELES","LM",TRUE
"6","RECTO, RALPH GONZALEZ           BASOY                               LAKAS NUCD-UMDP         148,770   May 12,1995","1/22","BATANGAS","04","congressman","4TH DISTRICT"," 148,770","May 12,1995","RECTO, RALPH GONZALEZ","LAKAS NUCD-UMDP",TRUE
"7","DIMAYUGA, JOSE RECIO            PEPING                              INDEPENDENT              5,920","1/22","BATANGAS","04","congressman","4TH DISTRICT"," 5,920",NA,"DIMAYUGA, JOSE RECIO","INDEPENDENT",TRUE
"8","MANDANAS, HERMILANDO INGO       DODO                                LABAN (LDP)             359,451   May 12,1995","1/22","BATANGAS","04","governor",""," 359,451","May 12,1995","MANDANAS, HERMILANDO INGO","LABAN (LDP)",TRUE
"9","SANCHEZ, ARMANDO CARPIO         ARMAN                               LM                      110,278","1/22","BATANGAS","04","governor",""," 110,278",NA,"SANCHEZ, ARMANDO CARPIO","LM",TRUE
"10","KALAW, AMADO JR. MAYO           BOBBY                               INDEPENDENT              84,827","1/22","BATANGAS","04","governor",""," 84,827",NA,"KALAW, AMADO JR. MAYO","INDEPENDENT",TRUE
"11","LEVISTE, MARIO PAREDES          SANNY                               NPC                      43,166","1/22","BATANGAS","04","governor",""," 43,166",NA,"LEVISTE, MARIO PAREDES","NPC",TRUE
"12","RECTO, RICKY GONZALEZ           RICKY                               LAKAS NUCD-UMDP         264,504   May 12,1995","1/22","BATANGAS","04","vice governor",""," 264,504","May 12,1995","RECTO, RICKY GONZALEZ","LAKAS NUCD-UMDP",TRUE
"13","MENDOZA, EUGENIO ESPELETA       GENIO                               LABAN (LDP)             137,556","1/22","BATANGAS","04","vice governor",""," 137,556",NA,"MENDOZA, EUGENIO ESPELETA","LABAN (LDP)",TRUE
"14","ATIENZA, JOSE MARANAN           JOE                                 LM                      127,938","1/22","BATANGAS","04","vice governor",""," 127,938",NA,"ATIENZA, JOSE MARANAN","LM",TRUE
"15","VILLANUEVA, CHRISTOPHER NAVARRO CHRIS                               NPC                      1,162","1/22","BATANGAS","04","vice governor",""," 1,162",NA,"VILLANUEVA, CHRISTOPHER NAVARRO CHRIS","",TRUE
"16","BAUSAS, LORENZO CLAUDIO         LORING                              LAKAS NUCD-UMDP          46,692   May 12,1995","1/22","BATANGAS","04","board member","1ST DISTRICT"," 46,692","May 12,1995","BAUSAS, LORENZO CLAUDIO","LAKAS NUCD-UMDP",TRUE
"17","DIAZ, RICARDO TOLENTINO         CARDING                             LAKAS NUCD-UMDP          35,025   May 12,1995","1/22","BATANGAS","04","board member","1ST DISTRICT"," 35,025","May 12,1995","DIAZ, RICARDO TOLENTINO","LAKAS NUCD-UMDP",TRUE
"18","CAUNAN, HENRY BUENAVENTURA      HENRY                               LABAN (LDP)              34,592","1/22","BATANGAS","04","board member","1ST DISTRICT"," 34,592",NA,"CAUNAN, HENRY BUENAVENTURA","LABAN (LDP)",TRUE
"19","ALVAREZ, HORACIO QUIJANO        HORACE                              NP                       26,812","1/22","BATANGAS","04","board member","1ST DISTRICT"," 26,812",NA,"ALVAREZ, HORACIO QUIJANO","NP",TRUE
"20","RAMOS, LUIS TORIBIO             SITONG                              LM                       18,125","1/22","BATANGAS","04","board member","1ST DISTRICT"," 18,125",NA,"RAMOS, LUIS TORIBIO","LM",TRUE
"21","VERGARA, ROBERTO LESANO         MEYOR                               LM                       14,222","1/22","BATANGAS","04","board member","1ST DISTRICT"," 14,222",NA,"VERGARA, ROBERTO LESANO","LM",TRUE
"22","VILLADOLID, ENRICO RAMOS         ERIC                                  LABAN (LDP)             10,536","2/22","BATANGAS","04","board member","1ST DISTRICT"," 10,536",NA,"VILLADOLID, ENRICO RAMOS","LABAN (LDP)",TRUE
"23","SALANGUIT, ALBERTO Z.            BOY                                   INDEPENDENT             6,428","2/22","BATANGAS","04","board member","1ST DISTRICT"," 6,428",NA,"SALANGUIT, ALBERTO Z.","INDEPENDENT",TRUE
"24","VALENCIA, NEMECIO JR. B.         KA TILO                               NPC                     2,281","2/22","BATANGAS","04","board member","1ST DISTRICT"," 2,281",NA,"VALENCIA, NEMECIO JR. B.","NPC",TRUE
"25","GERON, RONALDO ALEA              RONNIE                                LABAN (LDP)             62,709   May 12,1995","2/22","BATANGAS","04","board member","2ND DISTRICT"," 62,709","May 12,1995","GERON, RONALDO ALEA","LABAN (LDP)",TRUE
"26","PANGANIBAN, ROBERTO BANTA        BOBBY                                 LABAN (LDP)             61,720   May 12,1995","2/22","BATANGAS","04","board member","2ND DISTRICT"," 61,720","May 12,1995","PANGANIBAN, ROBERTO BANTA","LABAN (LDP)",TRUE
