"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BADELLES, MARIANO LLUCH        NANO                            LAKAS NUCD-UMDP          72,446   May 15,1995","1/6","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 72,446","May 15,1995","BADELLES, MARIANO LLUCH","LAKAS NUCD-UMDP",TRUE
"2","BORJA, URIEL ANTHONY GARCIA    JOJO                            LABAN (LDP)              27,689","1/6","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 27,689",NA,"BORJA, URIEL ANTHONY GARCIA","LABAN (LDP)",FALSE
"3","BADELLES, FRANCO B.            FB                              NPC                      10,362","1/6","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 10,362",NA,"BADELLES, FRANCO B.","NPC",TRUE
"4","MANGOTARA, ABDULLAH SARIH      DABS                            INDEPENDENT              42,658   May 14,1995","1/6","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 42,658","May 14,1995","MANGOTARA, ABDULLAH SARIH","INDEPENDENT",TRUE
"5","HISULER, MARIO ESTIMO          MAR                             LABAN (LDP)              25,061","1/6","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 25,061",NA,"HISULER, MARIO ESTIMO","LABAN (LDP)",TRUE
"6","LANTO, MACABANGKIT BATO        MAC                             LAKAS NUCD-UMDP          21,730","1/6","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 21,730",NA,"LANTO, MACABANGKIT BATO","LAKAS NUCD-UMDP",TRUE
"7","DIMAPORO, ABDULLAH DIMAKUTA    BOBBY                           LAKAS NUCD-UMDP          93,260   May 14,1995","1/6","LANAO DEL NORTE","12","governor",""," 93,260","May 14,1995","DIMAPORO, ABDULLAH DIMAKUTA","",TRUE
"8","TAMULA, FRED B.                FRED                            LABAN (LDP)              49,297","1/6","LANAO DEL NORTE","12","governor",""," 49,297",NA,"TAMULA, FRED B.","LABAN (LDP)",TRUE
"9","ALONTO, AHMAD JR. E.           JUN                             NPC                      3,552","1/6","LANAO DEL NORTE","12","governor",""," 3,552",NA,"ALONTO, AHMAD JR. E.","NPC",TRUE
"10","DACALOS, TIMOTEO DUENAS        BOY                             LAKAS NUCD-UMDP          76,352   May 14,1995","1/6","LANAO DEL NORTE","12","vice governor",""," 76,352","May 14,1995","DACALOS, TIMOTEO DUENAS","LAKAS NUCD-UMDP",TRUE
"11","CAMPILAN, ADRIAN MANABAT       ADRIAN                          LAKAS NUCD-UMDP          43,943","1/6","LANAO DEL NORTE","12","vice governor",""," 43,943",NA,"CAMPILAN, ADRIAN MANABAT","LAKAS NUCD-UMDP",TRUE
"12","SARIPADA, MAOLING M.           OLING                           NPC                      2,312","1/6","LANAO DEL NORTE","12","vice governor",""," 2,312",NA,"SARIPADA, MAOLING M.","NPC",TRUE
"13","ABALOS, LUCIO JESUS SANCIANGCO JESS                            LAKAS NUCD-UMDP          21,991   May 14,1995","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 21,991","May 14,1995","ABALOS, LUCIO JESUS SANCIANGCO JESS","",TRUE
"14","NERI, ROMANA DELA CRUZ         MANI                            LAKAS NUCD-UMDP          14,214   May 14,1995","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 14,214","May 14,1995","NERI, ROMANA DELA CRUZ","LAKAS NUCD-UMDP",TRUE
"15","BILIRAN, LUIS PASANTING        ING                             LAKAS NUCD-UMDP          13,393   May 14,1995","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 13,393","May 14,1995","BILIRAN, LUIS PASANTING","LAKAS NUCD-UMDP",TRUE
"16","CALACAT, ROOSQUE B.            NONOY                           LAKAS NUCD-UMDP          12,696","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 12,696",NA,"CALACAT, ROOSQUE B.","LAKAS NUCD-UMDP",TRUE
"17","GRAVINO, BENJAMIN A.           BEN                             LAKAS NUCD-UMDP          12,122","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 12,122",NA,"GRAVINO, BENJAMIN A.","LAKAS NUCD-UMDP",TRUE
"18","CANOY, CESAR RAMOS             CESAR                           LAKAS NUCD-UMDP          11,305","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 11,305",NA,"CANOY, CESAR RAMOS","LAKAS NUCD-UMDP",TRUE
"19","GERONA, PAULINO ABAN           PAUL                            LABAN (LDP)              9,915","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 9,915",NA,"GERONA, PAULINO ABAN","LABAN (LDP)",TRUE
"20","PALOMARES, DIEGO JR. MACEDA    BOY                             NPC                      5,077","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 5,077",NA,"PALOMARES, DIEGO JR. MACEDA","",TRUE
"21","MARUHOM, MIMBALAWAG JACK SARIP JACK                            INDEPENDENT              5,021","1/6","LANAO DEL NORTE","12","board member","1ST DISTRICT"," 5,021",NA,"MARUHOM, MIMBALAWAG JACK SARIP JACK","",TRUE
"22","MUTIA, SOLAIMAN CALI           SOLLER                          LAKAS NUCD-UMDP          44,176   May 14,1995","1/6","LANAO DEL NORTE","12","board member","2ND DISTRICT"," 44,176","May 14,1995","MUTIA, SOLAIMAN CALI","LAKAS NUCD-UMDP",TRUE
"23","BATALO, NAGAMURA TANDIONG        NAGA                               LAKAS NUCD-UMDP          39,495   May 14,1995","2/6","LANAO DEL NORTE","12","board member","2ND DISTRICT"," 39,495","May 14,1995","BATALO, NAGAMURA TANDIONG","LAKAS NUCD-UMDP",TRUE
"24","MARANDANG, MALIK GUBAT           MIKE                               LAKAS NUCD-UMDP          36,233   May 14,1995","2/6","LANAO DEL NORTE","12","board member","2ND DISTRICT"," 36,233","May 14,1995","MARANDANG, MALIK GUBAT","LAKAS NUCD-UMDP",TRUE
"25","ALI, IRMA UMPA                   BABY                               LAKAS NUCD-UMDP          35,633   May 14,1995","2/6","LANAO DEL NORTE","12","board member","2ND DISTRICT"," 35,633","May 14,1995","ALI, IRMA UMPA","LAKAS NUCD-UMDP",TRUE
"26","DITUCALAN, DAVID QUIJANO         DAVE                               LAKAS NUCD-UMDP          33,132   May 14,1995","2/6","LANAO DEL NORTE","12","board member","2ND DISTRICT"," 33,132","May 14,1995","DITUCALAN, DAVID QUIJANO","LAKAS NUCD-UMDP",TRUE
"27","DIBARATUN, MACARUPUNG BUTONG     MAC                                LAKAS NUCD-UMDP          23,904","2/6","LANAO DEL NORTE","12","board member","2ND DISTRICT"," 23,904",NA,"DIBARATUN, MACARUPUNG BUTONG","LAKAS NUCD-UMDP",TRUE
