"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","PAYUMO, FELICITO CRUZ           TONG                                 LP                      60,748   May 13,1995","1/12","BATAAN","03","congressman","1ST DISTRICT"," 60,748","May 13,1995","PAYUMO, FELICITO CRUZ","LP",TRUE
"2","GARCIA, ENRIQUE JR. TUASON      TET                                 NPC                      47,607   May 14,1995","1/12","BATAAN","03","congressman","2ND DISTRICT"," 47,607","May 14,1995","GARCIA, ENRIQUE JR. TUASON","NPC",TRUE
"3","VENEGAS, DOMINADOR NAVAL        DOMING                              LAKAS NUCD-UMDP          46,213","1/12","BATAAN","03","congressman","2ND DISTRICT"," 46,213",NA,"VENEGAS, DOMINADOR NAVAL","LAKAS NUCD-UMDP",TRUE
"4","GONZALES, NORBERTO BORJA        BERT                                PDSP                     7,563","1/12","BATAAN","03","congressman","2ND DISTRICT"," 7,563",NA,"GONZALES, NORBERTO BORJA","PDSP",TRUE
"5","BANZON, GREGORY FRANCIS HERNAEZ GREG                                 LP                      2,256","1/12","BATAAN","03","congressman","2ND DISTRICT"," 2,256",NA,"BANZON, GREGORY FRANCIS HERNAEZ GREG","",TRUE
"6","ROMAN, LEONARDO BANZON          DING                                LAKAS NUCD-UMDP         116,240   May 13,1995","1/12","BATAAN","03","governor",""," 116,240","May 13,1995","ROMAN, LEONARDO BANZON","LAKAS NUCD-UMDP",TRUE
"7","PASCUAL, EFREN JR. ESTANISLAO   BONJONG                             NPC                      79,498","1/12","BATAAN","03","governor",""," 79,498",NA,"PASCUAL, EFREN JR. ESTANISLAO   BONJONG","",TRUE
"8","BUNDALIAN, RICARDO RAFAEL       BOY                                 INDEPENDENT               162","1/12","BATAAN","03","governor",""," 162",NA,"BUNDALIAN, RICARDO RAFAEL","INDEPENDENT",TRUE
"9","ROMAN, SERAFIN QUIAMBAO         APIN                                LAKAS NUCD-UMDP          77,697   May 13,1995","1/12","BATAAN","03","vice governor",""," 77,697","May 13,1995","ROMAN, SERAFIN QUIAMBAO","LAKAS NUCD-UMDP",TRUE
"10","BANZON, VICENTE SANTOS          VIC                                 NPC                      60,312","1/12","BATAAN","03","vice governor",""," 60,312",NA,"BANZON, VICENTE SANTOS","NPC",TRUE
"11","ALONZO, BENJAMIN MANALAOTAO     BEN                                 INDEPENDENT              42,193","1/12","BATAAN","03","vice governor",""," 42,193",NA,"ALONZO, BENJAMIN MANALAOTAO","INDEPENDENT",TRUE
"12","RIVERO, LAURO IBARRA            LARRY                               INDEPENDENT              1,403","1/12","BATAAN","03","vice governor",""," 1,403",NA,"RIVERO, LAURO IBARRA","INDEPENDENT",TRUE
"13","IZON, RODOLFO SAN DIEGO         ROD IZON                            LAKAS NUCD-UMDP          55,990   May 13,1995","1/12","BATAAN","03","board member","1ST DISTRICT"," 55,990","May 13,1995","IZON, RODOLFO SAN DIEGO","LAKAS NUCD-UMDP",TRUE
"14","MULI, REYNALDO REYES            TIKBOY                              LAKAS NUCD-UMDP          34,908   May 13,1995","1/12","BATAAN","03","board member","1ST DISTRICT"," 34,908","May 13,1995","MULI, REYNALDO REYES","LAKAS NUCD-UMDP",TRUE
"15","MIRANDA, ORLANDO SUSI           ORLING                              NPC                      34,252   May 13,1995","1/12","BATAAN","03","board member","1ST DISTRICT"," 34,252","May 13,1995","MIRANDA, ORLANDO SUSI","NPC",TRUE
"16","APOSTOL, WILFREDO CHUANGCO      WILLY                               LAKAS NUCD-UMDP          33,787   May 13,1995","1/12","BATAAN","03","board member","1ST DISTRICT"," 33,787","May 13,1995","APOSTOL, WILFREDO CHUANGCO","LAKAS NUCD-UMDP",TRUE
"17","REYES, LOLITA MALLARI           LITA MALLARI                        NPC                      31,920   May 13,1995","1/12","BATAAN","03","board member","1ST DISTRICT"," 31,920","May 13,1995","REYES, LOLITA MALLARI","NPC",TRUE
"18","PENAFLOR, MARCELINO CRUZ        SIR                                 LAKAS NUCD-UMDP          23,676","1/12","BATAAN","03","board member","1ST DISTRICT"," 23,676",NA,"PENAFLOR, MARCELINO CRUZ","LAKAS NUCD-UMDP",TRUE
"19","SANTOS, MANUEL GUZMAN DE        MANNY                               LAKAS NUCD-UMDP          23,591","1/12","BATAAN","03","board member","1ST DISTRICT"," 23,591",NA,"SANTOS, MANUEL GUZMAN DE","LAKAS NUCD-UMDP",TRUE
"20","FABIAN, ARLENE TORRES           DR. FABIAN                          NPC                      22,345","1/12","BATAAN","03","board member","1ST DISTRICT"," 22,345",NA,"FABIAN, ARLENE TORRES","NPC",TRUE
"21","DELA FUENTE, EDUARDO CARAGAY    CHAD                                NPC                      13,933","1/12","BATAAN","03","board member","1ST DISTRICT"," 13,933",NA,"DELA FUENTE, EDUARDO CARAGAY","",TRUE
"22","NAVARRO, ROSELLER CONSUNJI      ROSS                                NPC                      13,093","1/12","BATAAN","03","board member","1ST DISTRICT"," 13,093",NA,"NAVARRO, ROSELLER CONSUNJI","NPC",TRUE
"23","RIVERA, DENNIS BUENSUCESO       DENNIS                              INDEPENDENT              1,303","1/12","BATAAN","03","board member","1ST DISTRICT"," 1,303",NA,"RIVERA, DENNIS BUENSUCESO","INDEPENDENT",TRUE
"24","ROQUE, ROGELIO GARCIA          BOY                                LAKAS NUCD-UMDP          50,976   May 13,1995","2/12","BATAAN","03","board member","2ND DISTRICT"," 50,976","May 13,1995","ROQUE, ROGELIO GARCIA","LAKAS NUCD-UMDP",TRUE
"25","UY, GREGORIO SANTOS            JUN UY                             LAKAS NUCD-UMDP          50,241   May 13,1995","2/12","BATAAN","03","board member","2ND DISTRICT"," 50,241","May 13,1995","UY, GREGORIO SANTOS","LAKAS NUCD-UMDP",TRUE
