"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ABLAN, ROQUE JR. RAVELO       ROQUE                            LAKAS NUCD-UMDP          45,298   May 12,1995","1/8","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 45,298","May 12,1995","ABLAN, ROQUE JR. RAVELO","LAKAS NUCD-UMDP",TRUE
"2","ABADILLA, ROLANDO NOLASCO     ROLLY                            INDEPENDENT              37,909","1/8","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 37,909",NA,"ABADILLA, ROLANDO NOLASCO","INDEPENDENT",TRUE
"3","MARCOS, LITA LOPEZ            LITA                             INDEPENDENT              17,275","1/8","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 17,275",NA,"MARCOS, LITA LOPEZ","INDEPENDENT",TRUE
"4","VALDEZ, SIMEON MARCOS         SIMMY                            LAKAS NUCD-UMDP          64,905   May 10,1995","1/8","ILOCOS NORTE","01","congressman","2ND DISTRICT"," 64,905","May 10,1995","VALDEZ, SIMEON MARCOS","LAKAS NUCD-UMDP",TRUE
"5","FARIÑAS, RODOLFO CASTRO       RUDY                             LAKAS NUCD-UMDP         176,858   May 12,1995","1/8","ILOCOS NORTE","01","governor",""," 176,858","May 12,1995","FARIÑAS, RODOLFO CASTRO","LAKAS NUCD-UMDP",TRUE
"6","VENTURA, ALICE RAVAL          ALICE                            INDEPENDENT              31,021","1/8","ILOCOS NORTE","01","governor",""," 31,021",NA,"VENTURA, ALICE RAVAL","INDEPENDENT",TRUE
"7","NALUPTA, MARIANO JR. ROSARIO  JUN                              KBL                     161,730   May 12,1995","1/8","ILOCOS NORTE","01","vice governor",""," 161,730","May 12,1995","NALUPTA, MARIANO JR. ROSARIO  JUN","",TRUE
"8","PALAFOX, ANTONIO CASTRO       TONY                             NPC                      36,327","1/8","ILOCOS NORTE","01","vice governor",""," 36,327",NA,"PALAFOX, ANTONIO CASTRO","NPC",TRUE
"9","VENTURA, FLORENTINO SR. PEÑA  PURING                           INDEPENDENT              1,588","1/8","ILOCOS NORTE","01","vice governor",""," 1,588",NA,"VENTURA, FLORENTINO SR. PEÑA  PURING","",TRUE
"10","PERALTA, RENATO MA. RAQUIZA   RP                               INDEPENDENT              65,200   May 12,1995","1/8","ILOCOS NORTE","01","board member","1ST DISTRICT"," 65,200","May 12,1995","PERALTA, RENATO MA. RAQUIZA   RP","",TRUE
