"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ISIDRO, MARTIN BUENAVENTURA   MART                                   LABAN (LDP)             79,202   May 17,1995","1/6","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 79,202","May 17,1995","ISIDRO, MARTIN BUENAVENTURA   MART","LABAN (LDP)",FALSE
"2","LOPEZ, HONORIO II URQUICO     BOY                                    LAKAS NUCD-UMDP         24,885","1/6","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 24,885",NA,"LOPEZ, HONORIO II URQUICO","LAKAS NUCD-UMDP",TRUE
"3","REGALADO, JOHNNY ARIZAPA      JOHNNY                                 KBL                     1,256","1/6","NCR - FIRST DISTRICT","NCR","congressman","1ST DISTRICT"," 1,256",NA,"REGALADO, JOHNNY ARIZAPA","KBL",TRUE
"4","LOPEZ, JAIME CAMPOS           JIM/JIMMY                              LAKAS NUCD-UMDP         39,818   May 17,1995","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 39,818","May 17,1995","LOPEZ, JAIME CAMPOS","LAKAS NUCD-UMDP",TRUE
"5","BELTRAN, NATALIO JR. M.       PUTI                                   NPC                     26,501","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 26,501",NA,"BELTRAN, NATALIO JR. M.","NPC",TRUE
"6","JAYLO, REYNALDO HUBILLA       REY                                    PRP                     15,776","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 15,776",NA,"JAYLO, REYNALDO HUBILLA","PRP",TRUE
"7","MARTELINO, ANTONIO NABONG     TONY                                   INDEPENDENT              666","1/6","NCR - FIRST DISTRICT","NCR","congressman","2ND DISTRICT"," 666",NA,"MARTELINO, ANTONIO NABONG","INDEPENDENT",TRUE
"8","FUGOSO, LEONARDO B.           NADING                                  LP                     36,297   May 17,1995","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 36,297","May 17,1995","FUGOSO, LEONARDO B.","LP",TRUE
"9","ANGPING, HARRY COSIQUIEN      HARRY                                  LAKAS NUCD-UMDP         25,029","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 25,029",NA,"ANGPING, HARRY COSIQUIEN","LAKAS NUCD-UMDP",TRUE
"10","GALANG, MELIZA TINSECO        MELY GALANG                            NPC                     9,561","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 9,561",NA,"GALANG, MELIZA TINSECO","NPC",TRUE
"11","PALAO, HENRY TANO             HENRY                                  LAKAS NUCD-UMDP         1,235","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 1,235",NA,"PALAO, HENRY TANO","LAKAS NUCD-UMDP",TRUE
"12","SIA, ROSALINDA SARMIENTO      SALLY/SALI/SALLIE                      INDEPENDENT              943","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 943",NA,"SIA, ROSALINDA SARMIENTO","INDEPENDENT",TRUE
"13","MESINA, BRIGIDO JR. PELAYO    JUN MESINA                             INDEPENDENT              209","1/6","NCR - FIRST DISTRICT","NCR","congressman","3RD DISTRICT"," 209",NA,"MESINA, BRIGIDO JR. PELAYO","",TRUE
