"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","LAGMAN, EDCEL CASTELAR           EDCEL                                LABAN (LDP)              57,939   May 13,1995","1/12","ALBAY","05","congressman","1ST DISTRICT"," 57,939","May 13,1995","LAGMAN, EDCEL CASTELAR","LABAN (LDP)",TRUE
"2","CALISIN, JESUS BRAGAIS           BAYAN                                LAKAS NUCD-UMDP          42,548","1/12","ALBAY","05","congressman","1ST DISTRICT"," 42,548",NA,"CALISIN, JESUS BRAGAIS","LAKAS NUCD-UMDP",TRUE
"3","BOLO, JOSE B.                    JOE                                  INDEPENDENT               113","1/12","ALBAY","05","congressman","1ST DISTRICT"," 113",NA,"BOLO, JOSE B.","INDEPENDENT",TRUE
"4","IMPERIAL, CARLOS DEL ROSARIO     CARLING                              NPC                      50,379   May 14,1995","1/12","ALBAY","05","congressman","2ND DISTRICT"," 50,379","May 14,1995","IMPERIAL, CARLOS DEL ROSARIO","NPC",TRUE
"5","SE, BENITO CEDO                  BEN                                  LAKAS NUCD-UMDP          29,772","1/12","ALBAY","05","congressman","2ND DISTRICT"," 29,772",NA,"SE, BENITO CEDO","LAKAS NUCD-UMDP",TRUE
"6","MARCELLANA, PEDRO JR. MAGAYANES  PETE                                 PDP-LABAN                24,076","1/12","ALBAY","05","congressman","2ND DISTRICT"," 24,076",NA,"MARCELLANA, PEDRO JR. MAGAYANES  PETE","",TRUE
"7","CALLEJA, GILBERT CLEMEÑA         BERT                                 INDEPENDENT               356","1/12","ALBAY","05","congressman","2ND DISTRICT"," 356",NA,"CALLEJA, GILBERT CLEMEÑA","INDEPENDENT",TRUE
"8","SALALIMA, ROMEO RAYALA           ROMY                                 NPC                      61,926   May 14,1995","1/12","ALBAY","05","congressman","3RD DISTRICT"," 61,926","May 14,1995","SALALIMA, ROMEO RAYALA","NPC",TRUE
"9","MATIAS, BENJAMIN ORBETA          BEN                                  INDEPENDENT              21,363","1/12","ALBAY","05","congressman","3RD DISTRICT"," 21,363",NA,"MATIAS, BENJAMIN ORBETA","INDEPENDENT",TRUE
"10","SABIDO, PEDRO JR. ESPINAS        YOY                                  PDP-LABAN                16,228","1/12","ALBAY","05","congressman","3RD DISTRICT"," 16,228",NA,"SABIDO, PEDRO JR. ESPINAS","PDP-LABAN",TRUE
"11","BICHARA, AL FRANCIS DEL CASTILLO AL                                   LAKAS NUCD-UMDP         241,486   May 14,1995","1/12","ALBAY","05","governor",""," 241,486","May 14,1995","BICHARA, AL FRANCIS DEL CASTILLO AL","LAKAS NUCD-UMDP",FALSE
"12","MONTAYRE, MA. LINDA OLAGUER      DAY                                  PDP-LABAN                54,093","1/12","ALBAY","05","governor",""," 54,093",NA,"MONTAYRE, MA. LINDA OLAGUER","PDP-LABAN",TRUE
"13","AZAÑA, DANILO SERRANO            DANNY                                NPC                     157,772   May 14,1995","1/12","ALBAY","05","vice governor",""," 157,772","May 14,1995","AZAÑA, DANILO SERRANO","NPC",TRUE
"14","PEREZ, JOSE VERA                 PEPITO VERA PEREZ                    LAKAS NUCD-UMDP         124,607","1/12","ALBAY","05","vice governor",""," 124,607",NA,"PEREZ, JOSE VERA","LAKAS NUCD-UMDP",TRUE
"15","COPE, SILVERIO C.                BIYONG                               LAKAS NUCD-UMDP          56,669   May 14,1995","1/12","ALBAY","05","board member","1ST DISTRICT"," 56,669","May 14,1995","COPE, SILVERIO C.","LAKAS NUCD-UMDP",TRUE
"16","BETITO, TOBIAS B.                TOBING                               LAKAS NUCD-UMDP          33,456   May 14,1995","1/12","ALBAY","05","board member","1ST DISTRICT"," 33,456","May 14,1995","BETITO, TOBIAS B.","LAKAS NUCD-UMDP",TRUE
"17","MADRILEJOS, JOSE MARINO BAYLON   JOEMAR                               LABAN (LDP)              29,721   May 14,1995","1/12","ALBAY","05","board member","1ST DISTRICT"," 29,721","May 14,1995","MADRILEJOS, JOSE MARINO BAYLON   JOEMAR","LABAN (LDP)",FALSE
"18","GO, VICENTE SR. LARA             VIC                                  LABAN (LDP)              23,903","1/12","ALBAY","05","board member","1ST DISTRICT"," 23,903",NA,"GO, VICENTE SR. LARA","LABAN (LDP)",TRUE
"19","MORAN, SALVADOR M.               BADONG                               LABAN (LDP)              22,594","1/12","ALBAY","05","board member","1ST DISTRICT"," 22,594",NA,"MORAN, SALVADOR M.","LABAN (LDP)",TRUE
"20","SILVERIO, EVELYN DIAZ            BELEN                                LAKAS NUCD-UMDP          22,312","1/12","ALBAY","05","board member","1ST DISTRICT"," 22,312",NA,"SILVERIO, EVELYN DIAZ","LAKAS NUCD-UMDP",TRUE
"21","GONZAGA, ROMEO B.                MIKE                                 PDP-LABAN                16,214","1/12","ALBAY","05","board member","1ST DISTRICT"," 16,214",NA,"GONZAGA, ROMEO B.","PDP-LABAN",TRUE
"22","BURCE, FREDDIE B.                FREDDIE                              PDP-LABAN                9,175","1/12","ALBAY","05","board member","1ST DISTRICT"," 9,175",NA,"BURCE, FREDDIE B.","PDP-LABAN",TRUE
"23","CABILES, FELIPE MANALANG       IPE                               NPC                      3,210","2/12","ALBAY","05","board member","1ST DISTRICT"," 3,210",NA,"CABILES, FELIPE MANALANG","NPC",TRUE
"24","ANTE, RODOLFO PULVINAR         DR. RUDY                          LAKAS NUCD-UMDP          40,060   May 14,1995","2/12","ALBAY","05","board member","2ND DISTRICT"," 40,060","May 14,1995","ANTE, RODOLFO PULVINAR","LAKAS NUCD-UMDP",TRUE
"25","BALDO, HERNANDEZ E.            HERNIE                            LAKAS NUCD-UMDP          37,187   May 14,1995","2/12","ALBAY","05","board member","2ND DISTRICT"," 37,187","May 14,1995","BALDO, HERNANDEZ E.","LAKAS NUCD-UMDP",TRUE
"26","LAWENKO, RAMON CHAVEZ          MON                               NPC                      31,328   May 14,1995","2/12","ALBAY","05","board member","2ND DISTRICT"," 31,328","May 14,1995","LAWENKO, RAMON CHAVEZ","NPC",TRUE
"27","REYEG, LORENZO L.              ENZO                              NPC                      30,758","2/12","ALBAY","05","board member","2ND DISTRICT"," 30,758",NA,"REYEG, LORENZO L.","NPC",TRUE
"28","AYALA, SOFIO BANARES           SOPI                              INDEPENDENT              28,212","2/12","ALBAY","05","board member","2ND DISTRICT"," 28,212",NA,"AYALA, SOFIO BANARES","INDEPENDENT",TRUE
"29","ACUNA, PEDRO LOSANTAS          INDO                              NPC                      26,186","2/12","ALBAY","05","board member","2ND DISTRICT"," 26,186",NA,"ACUNA, PEDRO LOSANTAS","NPC",TRUE
"30","LANUZA, MANUEL JR. LORIA       BOGOY                             LAKAS NUCD-UMDP          24,682","2/12","ALBAY","05","board member","2ND DISTRICT"," 24,682",NA,"LANUZA, MANUEL JR. LORIA","LAKAS NUCD-UMDP",TRUE
"31","GUERRERO, WILFREDO LEODERES    WILLY                             INDEPENDENT              12,681","2/12","ALBAY","05","board member","2ND DISTRICT"," 12,681",NA,"GUERRERO, WILFREDO LEODERES","",TRUE
"32","NIDEA, MANUEL M.               MANNY                             NP                       8,653","2/12","ALBAY","05","board member","2ND DISTRICT"," 8,653",NA,"NIDEA, MANUEL M.","NP",TRUE
"33","DEGARCELLANOSA, CHAM HICK L.   CHAM                              INDEPENDENT              3,647","2/12","ALBAY","05","board member","2ND DISTRICT"," 3,647",NA,"DEGARCELLANOSA, CHAM HICK L.   CHAM","",TRUE
"34","MAGALLON, OSCAR BALINGASA      OCA                               PDP-LABAN                3,520","2/12","ALBAY","05","board member","2ND DISTRICT"," 3,520",NA,"MAGALLON, OSCAR BALINGASA","PDP-LABAN",TRUE
"35","NUYDA, RAMON MARGALLO          MON                               INDEPENDENT              1,697","2/12","ALBAY","05","board member","2ND DISTRICT"," 1,697",NA,"NUYDA, RAMON MARGALLO","INDEPENDENT",TRUE
"36","MEDALLADA, JACINTO AREVALO     INTOY                             INDEPENDENT              1,188","2/12","ALBAY","05","board member","2ND DISTRICT"," 1,188",NA,"MEDALLADA, JACINTO AREVALO","INDEPENDENT",TRUE
"37","ALSUA, RAMON SAMSON            MON                               LAKAS NUCD-UMDP          36,527   May 14,1995","2/12","ALBAY","05","board member","3RD DISTRICT"," 36,527","May 14,1995","ALSUA, RAMON SAMSON","LAKAS NUCD-UMDP",TRUE
"38","RIVERA, JUAN GARCIA            NANING                            LAKAS NUCD-UMDP          33,663   May 14,1995","2/12","ALBAY","05","board member","3RD DISTRICT"," 33,663","May 14,1995","RIVERA, JUAN GARCIA","LAKAS NUCD-UMDP",TRUE
"39","BACLAO, NEMESIO REVILLA        CHING                             NPC                      30,773   May 14,1995","2/12","ALBAY","05","board member","3RD DISTRICT"," 30,773","May 14,1995","BACLAO, NEMESIO REVILLA","NPC",TRUE
"40","SALES, IRENEO T.               DODO                              LAKAS NUCD-UMDP          27,311   May 14,1995","2/12","ALBAY","05","board member","3RD DISTRICT"," 27,311","May 14,1995","SALES, IRENEO T.","LAKAS NUCD-UMDP",TRUE
