"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","RAMIREZ, JOSE TAN                   JOE                                 LAKAS NUCD-UMDP          41,523   May 13,1995","1/12","EASTERN SAMAR","08","congressman",NA," 41,523","May 13,1995","RAMIREZ, JOSE TAN","LAKAS NUCD-UMDP",TRUE
"2","LIBANAN, MARCELINO CHICANO          NONOY                               LAKAS NUCD-UMDP          40,869","1/12","EASTERN SAMAR","08","congressman",NA," 40,869",NA,"LIBANAN, MARCELINO CHICANO","LAKAS NUCD-UMDP",TRUE
"3","EVARDONE, BEN PAGARAN               BEN                                 LABAN (LDP)              28,788","1/12","EASTERN SAMAR","08","congressman",NA," 28,788",NA,"EVARDONE, BEN PAGARAN","LABAN (LDP)",TRUE
"4","BARBO, LUTGARDO BOCO                LUTZ                                LAKAS NUCD-UMDP          51,651   May 13,1995","1/12","EASTERN SAMAR","08","governor",""," 51,651","May 13,1995","BARBO, LUTGARDO BOCO","LAKAS NUCD-UMDP",TRUE
"5","SISON, CORNELIO MACABASAG           NELLI                               LAKAS NUCD-UMDP          49,330","1/12","EASTERN SAMAR","08","governor",""," 49,330",NA,"SISON, CORNELIO MACABASAG","LAKAS NUCD-UMDP",TRUE
"6","ALCONABA, REYNALDO ALPEZ            NAYDO                               NPC                      16,327","1/12","EASTERN SAMAR","08","governor",""," 16,327",NA,"ALCONABA, REYNALDO ALPEZ","NPC",TRUE
"7","ALIDO, GERMAN BAQUILOD              TITO                                LAKAS NUCD-UMDP          46,250   May 13,1995","1/12","EASTERN SAMAR","08","vice governor",""," 46,250","May 13,1995","ALIDO, GERMAN BAQUILOD","LAKAS NUCD-UMDP",TRUE
"8","DAZO, MERCED TY                     CHED                                LAKAS NUCD-UMDP          32,859","1/12","EASTERN SAMAR","08","vice governor",""," 32,859",NA,"DAZO, MERCED TY","LAKAS NUCD-UMDP",TRUE
"9","DOCENA, AGUSTIN BALAGAT             ESTING                              NPC                      20,789","1/12","EASTERN SAMAR","08","vice governor",""," 20,789",NA,"DOCENA, AGUSTIN BALAGAT","NPC",TRUE
"10","ABRIGO, BERNARDINO JR. ARCEÑO       BOBBY                                LP                      2,288","1/12","EASTERN SAMAR","08","vice governor",""," 2,288",NA,"ABRIGO, BERNARDINO JR. ARCEÑO","LP",TRUE
"11","GELI, LEANDER RIVERA                LEYAN                               LAKAS NUCD-UMDP          17,008   May 13,1995","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 17,008","May 13,1995","GELI, LEANDER RIVERA","LAKAS NUCD-UMDP",TRUE
"12","GERNA, NONATO ANACTA                TATONG                              LAKAS NUCD-UMDP          16,068   May 13,1995","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 16,068","May 13,1995","GERNA, NONATO ANACTA","LAKAS NUCD-UMDP",TRUE
"13","CABATO, CELESTINO A.                TINOY                               LAKAS NUCD-UMDP          15,145   May 13,1995","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 15,145","May 13,1995","CABATO, CELESTINO A.","LAKAS NUCD-UMDP",TRUE
"14","OPINION, JOSE VICENTE R. MONTALLANA JOVI                                LAKAS NUCD-UMDP          14,756   May 13,1995","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 14,756","May 13,1995","OPINION, JOSE VICENTE R. MONTALLANA JOVI","",TRUE
"15","PALINES, ERNESTO ACOL               EDOY                                LAKAS NUCD-UMDP          14,152","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 14,152",NA,"PALINES, ERNESTO ACOL","LAKAS NUCD-UMDP",TRUE
"16","DORADO, REYNALDO C.                 REY                                 LAKAS NUCD-UMDP          13,491","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 13,491",NA,"DORADO, REYNALDO C.","LAKAS NUCD-UMDP",TRUE
"17","MENGOTE, CANDELARIA MENGOTE         BOYBOY                              NPC                      12,101","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 12,101",NA,"MENGOTE, CANDELARIA MENGOTE","NPC",TRUE
"18","AMPONG, PANFILO SIATELA             BATA PAMPING                        NPC                      11,482","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 11,482",NA,"AMPONG, PANFILO SIATELA","NPC",TRUE
"19","DULFO, AQUILINO TABINAS             ACLING                              LAKAS NUCD-UMDP          11,458","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 11,458",NA,"DULFO, AQUILINO TABINAS","LAKAS NUCD-UMDP",TRUE
"20","CARDONA, GLICERIO CEPEDA            GLECY                               NPC                      10,837","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 10,837",NA,"CARDONA, GLICERIO CEPEDA","NPC",TRUE
"21","ACCION, JOSE AMOYO                  SUSIE                               LAKAS NUCD-UMDP          10,101","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 10,101",NA,"ACCION, JOSE AMOYO","LAKAS NUCD-UMDP",TRUE
"22","AMASA, VICTOR JR. LOSTE             DONDOY                              INDEPENDENT              9,569","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 9,569",NA,"AMASA, VICTOR JR. LOSTE","INDEPENDENT",TRUE
"23","QUITORIO, EDUARDO BACUR             EDDIE                               INDEPENDENT              8,173","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 8,173",NA,"QUITORIO, EDUARDO BACUR","INDEPENDENT",TRUE
"24","MONTES, ROY SOLINAP                 ROY                                 LABAN (LDP)              7,032","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 7,032",NA,"MONTES, ROY SOLINAP","LABAN (LDP)",TRUE
"25","CORADO, EVELYN AMIT              MADAM                            INDEPENDENT              5,618","2/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 5,618",NA,"CORADO, EVELYN AMIT","INDEPENDENT",TRUE
"26","CAMENFORTE, FLORO JR. MONASTERIO JUNJI                            LAKAS NUCD-UMDP          21,521   May 13,1995","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 21,521","May 13,1995","CAMENFORTE, FLORO JR. MONASTERIO JUNJI","",TRUE
"27","YU, GENEROSO AREVALO             COLON                            LAKAS NUCD-UMDP          17,638   May 13,1995","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 17,638","May 13,1995","YU, GENEROSO AREVALO","LAKAS NUCD-UMDP",TRUE
"28","LOPEZ, AUGUSTO JR. C.            NONOY                            LAKAS NUCD-UMDP          13,622   May 13,1995","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 13,622","May 13,1995","LOPEZ, AUGUSTO JR. C.","LAKAS NUCD-UMDP",TRUE
"29","LUGAY, FERNANDO BASA             NANDING                          LABAN (LDP)              12,883   May 13,1995","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 12,883","May 13,1995","LUGAY, FERNANDO BASA","LABAN (LDP)",TRUE
"30","AGPALO, BELEN ARCEÑO             BELEN                            LAKAS NUCD-UMDP          12,097","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 12,097",NA,"AGPALO, BELEN ARCEÑO","LAKAS NUCD-UMDP",TRUE
"31","BOCO, FIDENCIO ALDAY             FIDEN                            LAKAS NUCD-UMDP          11,352","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 11,352",NA,"BOCO, FIDENCIO ALDAY","LAKAS NUCD-UMDP",TRUE
"32","ARGANDA, PEDRO SR. BADUL         PEDRING                          LAKAS NUCD-UMDP          9,765","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 9,765",NA,"ARGANDA, PEDRO SR. BADUL","LAKAS NUCD-UMDP",TRUE
"33","QUIMINALES, JUAN MORANTE         JOHNNY                           LAKAS NUCD-UMDP          9,578","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 9,578",NA,"QUIMINALES, JUAN MORANTE","LAKAS NUCD-UMDP",TRUE
"34","ASEBIAS, RAFAEL SACENDONCILLO    RAFFY                            LABAN (LDP)              7,542","2/12","EASTERN SAMAR","08","board member","2ND DISTRICT"," 7,542",NA,"ASEBIAS, RAFAEL SACENDONCILLO","LABAN (LDP)",FALSE
