"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"54","GALASGAS, JAIME A.             JIMMY                                LAKAS NUCD-UMDP          9,617    May 11,1995","3/11","BENGUET","CAR","board member","1ST DISTRICT"," 9,617","May 11,1995","GALASGAS, JAIME A.","LAKAS NUCD-UMDP",TRUE
"55","SUELLO, BENJAMIN CANDO         BEN                                  LAKAS NUCD-UMDP          9,131","3/11","BENGUET","CAR","board member","1ST DISTRICT"," 9,131",NA,"SUELLO, BENJAMIN CANDO","LAKAS NUCD-UMDP",TRUE
"56","QUILALA, RABINDRANATH P.       ABET KILALA                          LABAN (LDP)              8,846","3/11","BENGUET","CAR","board member","1ST DISTRICT"," 8,846",NA,"QUILALA, RABINDRANATH P.","LABAN (LDP)",TRUE
"57","NGOSLAB, DANIEL TONGAY         DANNY                                NPC                      7,982","3/11","BENGUET","CAR","board member","1ST DISTRICT"," 7,982",NA,"NGOSLAB, DANIEL TONGAY","NPC",TRUE
"58","PUNGAYAN, EUFRONIO LAMPITAO    MORR TADEO                           LAKAS NUCD-UMDP          7,500","3/11","BENGUET","CAR","board member","1ST DISTRICT"," 7,500",NA,"PUNGAYAN, EUFRONIO LAMPITAO","",TRUE
"59","SUANDING, GEORGE WALES         GEORGE                               LABAN (LDP)              7,370","3/11","BENGUET","CAR","board member","1ST DISTRICT"," 7,370",NA,"SUANDING, GEORGE WALES","LABAN (LDP)",TRUE
"60","KANITENG, LOMINO NGAOSI      LOMS                                NPC                      6,052","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 6,052",NA,"KANITENG, LOMINO NGAOSI","NPC",TRUE
"61","BEHIS, SALEM PEGHING         SAM                                 INDEPENDENT              5,673","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 5,673",NA,"BEHIS, SALEM PEGHING","INDEPENDENT",TRUE
"62","AMPAGUEY, ALUMNO SITO        AL                                  INDEPENDENT              5,417","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 5,417",NA,"AMPAGUEY, ALUMNO SITO","INDEPENDENT",TRUE
"63","BADIVAL, VICTORIA C.         VICKY                               LABAN (LDP)              5,182","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 5,182",NA,"BADIVAL, VICTORIA C.","LABAN (LDP)",TRUE
"64","DANTE, TIMOTEO SALDA         TIM                                 LM                       2,201","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 2,201",NA,"DANTE, TIMOTEO SALDA","LM",TRUE
"65","CANUTO, PHILIP PAYTOCAN      AGOSTO                              INDEPENDENT              1,481","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 1,481",NA,"CANUTO, PHILIP PAYTOCAN","INDEPENDENT",TRUE
"66","AQUINO, ROMEO TELLO          ROMY                                LM                       1,059","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 1,059",NA,"AQUINO, ROMEO TELLO","LM",TRUE
"67","PADIO, PAULINO JR. S.        JUNIOR                              LM                        615","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 615",NA,"PADIO, PAULINO JR. S.","LM",TRUE
"68","AQUIAPAO, SALVADOR DOLO      BADOR                               INDEPENDENT               422","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 422",NA,"AQUIAPAO, SALVADOR DOLO","INDEPENDENT",TRUE
"69","BAGAT, FELICIDAD G.          FELICING                            LM                        400","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 400",NA,"BAGAT, FELICIDAD G.","LM",TRUE
"70","CALABSON, LIHOC ALICNAS      BOHOL                               LM                        206","4/11","BENGUET","CAR","board member","1ST DISTRICT"," 206",NA,"CALABSON, LIHOC ALICNAS","LM",TRUE
"71","MALAYA, JAMES MARCIANO       JAMES                               LAKAS NUCD-UMDP          19,631   May 11,1995","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 19,631","May 11,1995","MALAYA, JAMES MARCIANO","LAKAS NUCD-UMDP",TRUE
"72","PALAEZ, BIAL ALAMEN          MITRA OF BENGUET                    LABAN (LDP)              15,778   May 11,1995","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 15,778","May 11,1995","PALAEZ, BIAL ALAMEN","LABAN (LDP)",TRUE
"73","PARAN, SAMSON CORTEZ         SAMMY                               INDEPENDENT              15,203   May 11,1995","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 15,203","May 11,1995","PARAN, SAMSON CORTEZ","INDEPENDENT",TRUE
"74","SANTOS, AGOSTO PATNAO        GUS                                 LABAN (LDP)              14,251   May 11,1995","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 14,251","May 11,1995","SANTOS, AGOSTO PATNAO","LABAN (LDP)",TRUE
"75","BOLISLIS, DANILO L.          DANNY                               LAKAS NUCD-UMDP          13,850   May 11,1995","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 13,850","May 11,1995","BOLISLIS, DANILO L.","LAKAS NUCD-UMDP",TRUE
"76","LAZA, PERFECTO TUGAN         PITO                                INDEPENDENT              12,969","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 12,969",NA,"LAZA, PERFECTO TUGAN","INDEPENDENT",TRUE
