"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"30","APACIBLE, JAIME INCIONG           JIMMY                                KNP/LDP                  13,403","2/12","BATANGAS","04A","board member","1ST DISTRICT"," 13,403",NA,"APACIBLE, JAIME INCIONG","KNP/LDP",TRUE
"31","LANDICHO, ROBERTO DELOS REYES     OBET                                 INDEPENDENT              4,973","2/12","BATANGAS","04A","board member","1ST DISTRICT"," 4,973",NA,"LANDICHO, ROBERTO DELOS REYES","INDEPENDENT",TRUE
"32","FERNANDEZ, FRANCISCO LOPEO        KIKO                                 INDEPENDENT              1,404","2/12","BATANGAS","04A","board member","1ST DISTRICT"," 1,404",NA,"FERNANDEZ, FRANCISCO LOPEO","INDEPENDENT",TRUE
"33","LIMETA, RANDOLPH RUBIO            RAD/RANDY/BRAD/RANDOLPH              LDP                      1,125","2/12","BATANGAS","04A","board member","1ST DISTRICT"," 1,125",NA,"LIMETA, RANDOLPH RUBIO","LDP",TRUE
"34","ATIENZA, SERGIO GODOY             SERGING                              LP                       89,158   May 15,2004","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 89,158","May 15,2004","ATIENZA, SERGIO GODOY","LP",TRUE
"35","BERBERABE, GODOFREDO JR. MARCAIDA JUN                                  LP                       79,842   May 15,2004","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 79,842","May 15,2004","BERBERABE, GODOFREDO JR. MARCAIDA JUN","",TRUE
"36","DE LOYOLA, FLORENCIO ABACAN       FLOR                                 LP                       77,996   May 15,2004","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 77,996","May 15,2004","DE LOYOLA, FLORENCIO ABACAN","LP",TRUE
"37","LASAR-PANALIGAN, PORTIA AYAO      PEEWEE                               LAKAS-CMD                63,613","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 63,613",NA,"LASAR-PANALIGAN, PORTIA AYAO","LAKAS-CMD",TRUE
"38","SABILLO, MICHELLE BERANIA         MITCH                                LAKAS-CMD                42,971","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 42,971",NA,"SABILLO, MICHELLE BERANIA","LAKAS-CMD",TRUE
"39","YAP, ALEX -                       F4                                   LAKAS-CMD                37,355","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 37,355",NA,"YAP, ALEX -","LAKAS-CMD",TRUE
"40","EBORA, CASIANO T.                 SONNY                                INDEPENDENT              19,510","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 19,510",NA,"EBORA, CASIANO T.","INDEPENDENT",TRUE
"41","MENDOZA, ERNESTO BACSA            ERNING                               LDP                      3,829","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 3,829",NA,"MENDOZA, ERNESTO BACSA","LDP",TRUE
"42","DIMAANO, MARIETTA ACOSTA MACARAIG MAYET/AMBAL/TITA MAYETH              ISANG BANSA ISANG DIWA   2,931","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 2,931",NA,"DIMAANO, MARIETTA ACOSTA MACARAIG MAYET/AMBAL/TITA MAYETH",NA,NA
"43","MARASIGAN, BIENVENIDO MARANAN     BEDDY                                LDP                      2,338","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 2,338",NA,"MARASIGAN, BIENVENIDO MARANAN","LDP",TRUE
"44","MENDOZA, PAULA TRICIA GABIANA     APAUL                                LDP                      2,009","2/12","BATANGAS","04A","board member","2ND DISTRICT"," 2,009",NA,"MENDOZA, PAULA TRICIA GABIANA","LDP",TRUE
"45","BALBA, RODOLFO MATANGUIHAN        RUDY                                 LP                       81,319   May 15,2004","2/12","BATANGAS","04A","board member","3RD DISTRICT"," 81,319","May 15,2004","BALBA, RODOLFO MATANGUIHAN","LP",TRUE
"46","HERNANDEZ, CECILIO FAJARDO        CILLO                                LAKAS-CMD                66,553   May 15,2004","2/12","BATANGAS","04A","board member","3RD DISTRICT"," 66,553","May 15,2004","HERNANDEZ, CECILIO FAJARDO","LAKAS-CMD",TRUE
