"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","SALAPUDDIN, GERRY ABDULGANI           GERRY                               LAKAS-CMD                96,846   May 17,2004","1/14","BASILAN","ARMM","congressman",NA," 96,846","May 17,2004","SALAPUDDIN, GERRY ABDULGANI","LAKAS-CMD",TRUE
"2","BALAMO, BONNIE CUEVAS                 BON/ABDULAZIZ                       LDP                        0","1/14","BASILAN","ARMM","congressman",NA," 0",NA,"BALAMO, BONNIE CUEVAS",NA,NA
"3","TANJIJI, HJI TALIB CONGGO AMIN        CONGGO                              PMP                        0","1/14","BASILAN","ARMM","congressman",NA," 0",NA,"TANJIJI, HJI TALIB CONGGO AMIN",NA,NA
"4","WAHAB, AKBAR MUHTAMAD                 TUWAN                               LAKAS-CMD                83,432   May 17,2004","1/14","BASILAN","ARMM","governor",""," 83,432","May 17,2004","WAHAB, AKBAR MUHTAMAD","LAKAS-CMD",TRUE
"5","AMIL, OJONG HANDANG                   PROF                                PMP                        0","1/14","BASILAN","ARMM","governor",""," 0",NA,"AMIL, OJONG HANDANG",NA,NA
"6","SUCOK, MAHMUD A.                                                                                     0","1/14","BASILAN","ARMM","governor",""," 0",NA,"SUCOK, MAHMUD A.",NA,NA
"7","AMBIL, USTADZ MOH. MAALUP             HJI. MADZ                           ISANG BANSA ISANG DIWA     0","1/14","BASILAN","ARMM","governor",""," 0",NA,"AMBIL, USTADZ MOH. MAALUP",NA,NA
"8","PAKIRULLAH, SAHIDULLAH DALAWIS        SAHID                               INDEPENDENT                0","1/14","BASILAN","ARMM","governor",""," 0",NA,"PAKIRULLAH, SAHIDULLAH DALAWIS",NA,NA
"9","HATAMAN-SALLIMAN, HADJIMAN SABBIHI    JIM                                 LP                         0","1/14","BASILAN","ARMM","governor",""," 0",NA,"HATAMAN-SALLIMAN, HADJIMAN SABBIHI",NA,NA
"10","SAKKALAHUL, AL-RASHEED AHMAD MATUNANG AL                                  AKSYON DEMOKRATIKO       57,215   May 17,2004","1/14","BASILAN","ARMM","vice governor",""," 57,215","May 17,2004","SAKKALAHUL, AL-RASHEED AHMAD MATUNANG AL","AKSYON DEMOKRATIKO",FALSE
"11","ANTONIO, PERFECTO JR. CAPIN           TOTO                                NPC                        0","1/14","BASILAN","ARMM","vice governor",""," 0",NA,"ANTONIO, PERFECTO JR. CAPIN",NA,NA
"12","SALAIN, NASSER ARAJA-A                NASH/NANG                           LAKAS-CMD                  0","1/14","BASILAN","ARMM","vice governor",""," 0",NA,"SALAIN, NASSER ARAJA-A",NA,NA
"13","ORTEGA, FELIPE CUENTO                 PING                                PMP                        0","1/14","BASILAN","ARMM","vice governor",""," 0",NA,"ORTEGA, FELIPE CUENTO",NA,NA
"14","FERNANDEZ, OTOH IMAMIL                EDDIE                               LAKAS-CMD                24,880   May 17,2004","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 24,880","May 17,2004","FERNANDEZ, OTOH IMAMIL","LAKAS-CMD",TRUE
"15","MUARIP, MOUMAR LIPAE                  MAR                                 LAKAS-CMD                18,549   May 17,2004","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 18,549","May 17,2004","MUARIP, MOUMAR LIPAE","LAKAS-CMD",TRUE
"16","ALEJO, TAIB ABDULHAMID                MAX TAMBAN                          LP                       17,946   May 17,2004","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 17,946","May 17,2004","ALEJO, TAIB ABDULHAMID","LP",TRUE
"17","JILHANI, PLACIDO SULAY                CIDO                                LAKAS-CMD                17,118   May 17,2004","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 17,118","May 17,2004","JILHANI, PLACIDO SULAY","LAKAS-CMD",TRUE
"18","AKBAR, OMAR MUTAMAD                   JOY                                 INDEPENDENT                0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"AKBAR, OMAR MUTAMAD",NA,NA
"19","RONDAEL, LUVISMINDO MONTAOS           MINDO                               LP                         0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"RONDAEL, LUVISMINDO MONTAOS",NA,NA
"20","ALDAM, YUSOP ALPAD                    JESS                                PMP                        0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"ALDAM, YUSOP ALPAD",NA,NA
"21","INDANAN, SIHON ANJI                   HON                                 PMP                        0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"INDANAN, SIHON ANJI",NA,NA
"22","CAITUM, MARY LOU MASICAMPO            LOU/MALOU                           INDEPENDENT                0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"CAITUM, MARY LOU MASICAMPO",NA,NA
"23","TUPAY, MISKUDDIN SAHI                 MISTY                               LP                         0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"TUPAY, MISKUDDIN SAHI",NA,NA
"24","SAHDIN, ONDOS NALIH                   ONDOS                               INDEPENDENT                0","1/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"SAHDIN, ONDOS NALIH",NA,NA
"25","AJIBUN, JAINAL JAHANDAL        TIGER                                LAKAS-CMD                  0","2/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"AJIBUN, JAINAL JAHANDAL",NA,NA
"26","MALLI, PATARASA TIMBASAL       GABING                               PMP                        0","2/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"MALLI, PATARASA TIMBASAL",NA,NA
"27","SARABI, SAHIRON SITTI          ERON                                 LP                         0","2/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"SARABI, SAHIRON SITTI",NA,NA
"28","SANGKULA, NUR SAHIBUL          BONG                                 PMP                        0","2/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"SANGKULA, NUR SAHIBUL",NA,NA
"29","ABDIL, MAJID ALAJA             MADZ                                 INDEPENDENT                0","2/14","BASILAN","ARMM","board member","1ST DISTRICT"," 0",NA,"ABDIL, MAJID ALAJA",NA,NA
"30","ANGELES, ALTON T.              ALTON                                LAKAS-CMD                28,989   May 17,2004","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 28,989","May 17,2004","ANGELES, ALTON T.","LAKAS-CMD",TRUE
"31","MUJAHID, ABDULMUHMIN ALYAKANIE UST. MUJAHID                         LAKAS-CMD                22,331   May 17,2004","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 22,331","May 17,2004","MUJAHID, ABDULMUHMIN ALYAKANIE UST. MUJAHID","",TRUE
"32","HANTIAN, RONIE AJIJIL          MUBIN                                PMP                      20,454   May 17,2004","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 20,454","May 17,2004","HANTIAN, RONIE AJIJIL","PMP",TRUE
"33","SAID, JUBAIRA SALI             BHING                                LAKAS-CMD                19,736   May 17,2004","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 19,736","May 17,2004","SAID, JUBAIRA SALI","LAKAS-CMD",TRUE
"34","BHUD, MUSA BASIR               USTADZ MUSA                          AKSYON DEMOKRATIKO         0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"BHUD, MUSA BASIR",NA,NA
"35","WAHID, MANNAN MUSA             HAJARUN                              LDP                        0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"WAHID, MANNAN MUSA",NA,NA
"36","ASMAWIL, ABOU MOHAMMAD EMMO    BONG/ABU                             AKSYON DEMOKRATIKO         0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"ASMAWIL, ABOU MOHAMMAD EMMO",NA,NA
"37","ASALUL, ANDRIEL BASALI         ANDY                                 LP                         0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"ASALUL, ANDRIEL BASALI",NA,NA
"38","HADJALA, SALJITA JAINATUL      NONE                                 LAKAS-CMD                  0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"HADJALA, SALJITA JAINATUL",NA,NA
"39","ANDIHAD, JOE DANO              JOENAR                               INDEPENDENT                0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"ANDIHAD, JOE DANO",NA,NA
"40","ALPHA, RASHID AJALIL           RAS                                  INDEPENDENT                0","2/14","BASILAN","ARMM","board member","2ND DISTRICT"," 0",NA,"ALPHA, RASHID AJALIL",NA,NA
