"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","CHATTO, EDGARDO MIGRIÑO            EDGAR                                 LAKAS-CMD               128,657   May 15,2004","1/9","BOHOL","07","congressman","1ST DISTRICT"," 128,657","May 15,2004","CHATTO, EDGARDO MIGRIÑO","LAKAS-CMD",TRUE
"2","CAJES, ROBERTO CASTAÑO             ONDOY                                 LAKAS-CMD                95,125   May 15,2004","1/9","BOHOL","07","congressman","2ND DISTRICT"," 95,125","May 15,2004","CAJES, ROBERTO CASTAÑO","LAKAS-CMD",TRUE
"3","GARCIA, FILADELFO AUTENTICO        ADEL                                  LDP                      37,399","1/9","BOHOL","07","congressman","2ND DISTRICT"," 37,399",NA,"GARCIA, FILADELFO AUTENTICO","LDP",TRUE
"4","JALA, ELADIO MANLIGUEZ             BOY                                   LAKAS-CMD               115,301   May 15,2004","1/9","BOHOL","07","congressman","3RD DISTRICT"," 115,301","May 15,2004","JALA, ELADIO MANLIGUEZ","LAKAS-CMD",TRUE
"5","MENDEZ, LEONARDO -                 DANNY                                 INDEPENDENT              18,164","1/9","BOHOL","07","congressman","3RD DISTRICT"," 18,164",NA,"MENDEZ, LEONARDO -","INDEPENDENT",TRUE
"6","BALBIN, MARIO BILIRAN              MAR                                   INDEPENDENT-KNP          5,413","1/9","BOHOL","07","congressman","3RD DISTRICT"," 5,413",NA,"BALBIN, MARIO BILIRAN","INDEPENDENT-KNP",TRUE
"7","INTE, VICTORIANO TEJANO            VIC                                   INDEPENDENT               200","1/9","BOHOL","07","congressman","3RD DISTRICT"," 200",NA,"INTE, VICTORIANO TEJANO","INDEPENDENT",TRUE
"8","AUMENTADO, ERICO BOYLES            RIC                                   LAKAS-CMD               238,497   May 15,2004","1/9","BOHOL","07","governor",""," 238,497","May 15,2004","AUMENTADO, ERICO BOYLES","LAKAS-CMD",TRUE
"9","RELAMPAGOS, RENE LOPEZ             RENE                                  KNP                     200,038","1/9","BOHOL","07","governor",""," 200,038",NA,"RELAMPAGOS, RENE LOPEZ","KNP",TRUE
"10","PELEGRINO, PETER BERNALTE          PETER B. PELEGRINO                    INDEPENDENT               535","1/9","BOHOL","07","governor",""," 535",NA,"PELEGRINO, PETER BERNALTE","INDEPENDENT",TRUE
"11","HERRERA, JULIUS CAESAR FALAR       JULIUS                                LAKAS-CMD               335,694   May 15,2004","1/9","BOHOL","07","vice governor",""," 335,694","May 15,2004","HERRERA, JULIUS CAESAR FALAR","LAKAS-CMD",TRUE
"12","RENGEL, FELIX TESORIO              FELIX                                 INDEPENDENT              16,911","1/9","BOHOL","07","vice governor",""," 16,911",NA,"RENGEL, FELIX TESORIO","INDEPENDENT",TRUE
"13","VELOSO, JOSE ECHAVIA               DODONG                                LAKAS-CMD                90,304   May 15,2004","1/9","BOHOL","07","board member","1ST DISTRICT"," 90,304","May 15,2004","VELOSO, JOSE ECHAVIA","LAKAS-CMD",TRUE
"14","MASCARIÑAS, EUFRASIO MANTE         PRASING                               LAKAS-CMD                90,072   May 15,2004","1/9","BOHOL","07","board member","1ST DISTRICT"," 90,072","May 15,2004","MASCARIÑAS, EUFRASIO MANTE","LAKAS-CMD",TRUE
"15","UY, FELIX REALISTA                 LEX                                   LAKAS-CMD                84,240   May 15,2004","1/9","BOHOL","07","board member","1ST DISTRICT"," 84,240","May 15,2004","UY, FELIX REALISTA","LAKAS-CMD",TRUE
"16","REYES, FELIPE BOMPAT               PEPE REYES                            PDP LABAN                15,250","1/9","BOHOL","07","board member","1ST DISTRICT"," 15,250",NA,"REYES, FELIPE BOMPAT","PDP LABAN",TRUE
"17","GEMENTIZA, MANUEL MORGIA           MANING                                PDP LABAN                7,791","1/9","BOHOL","07","board member","1ST DISTRICT"," 7,791",NA,"GEMENTIZA, MANUEL MORGIA","PDP LABAN",TRUE
"18","CALIBO, MARIA ROSARIO REGINA ROCHA REEGEEN                               INDEPENDENT              6,056","1/9","BOHOL","07","board member","1ST DISTRICT"," 6,056",NA,"CALIBO, MARIA ROSARIO REGINA ROCHA REEGEEN","",TRUE
"19","TIROL, AMALIA REYES                MALLY                                 LAKAS-CMD                73,832   May 15,2004","1/9","BOHOL","07","board member","2ND DISTRICT"," 73,832","May 15,2004","TIROL, AMALIA REYES","LAKAS-CMD",TRUE
"20","GARCIA, FELIX TEOFILO              LINGGING                              LAKAS-CMD                61,604   May 15,2004","1/9","BOHOL","07","board member","2ND DISTRICT"," 61,604","May 15,2004","GARCIA, FELIX TEOFILO","LAKAS-CMD",TRUE
"21","CAMACHO-LEJOS, MA. FE CAMACHO      MA. FE                                LAKAS-CMD                56,829   May 15,2004","1/9","BOHOL","07","board member","2ND DISTRICT"," 56,829","May 15,2004","CAMACHO-LEJOS, MA. FE CAMACHO","LAKAS-CMD",TRUE
"22","ARTIAGA, ROBESITO EVANGELISTA     SITO, CHITO                          LDP                      44,784","2/9","BOHOL","07","board member","2ND DISTRICT"," 44,784",NA,"ARTIAGA, ROBESITO EVANGELISTA","LDP",TRUE
"23","BOYLES, ELISEO CASIL              DODO                                 LDP                      22,927","2/9","BOHOL","07","board member","2ND DISTRICT"," 22,927",NA,"BOYLES, ELISEO CASIL","LDP",TRUE
"24","CABARRUBIAS, RICO ESTORGIO        RIC                                  LDP                      20,985","2/9","BOHOL","07","board member","2ND DISTRICT"," 20,985",NA,"CABARRUBIAS, RICO ESTORGIO","LDP",TRUE
"25","GARCIA, WENCESLAO SAYSON          DANNY G.                             INDEPENDENTE PARA SA     6,062","2/9","BOHOL","07","board member","2ND DISTRICT"," 6,062",NA,"GARCIA, WENCESLAO SAYSON","",TRUE
"26","BALITE, DIONISIO DAJALOS          DIONING                              LAKAS-CMD                98,979   May 15,2004","2/9","BOHOL","07","board member","3RD DISTRICT"," 98,979","May 15,2004","BALITE, DIONISIO DAJALOS","LAKAS-CMD",TRUE
"27","LIM, CONCEPCION ONG               INDAY                                LAKAS-CMD                87,101   May 15,2004","2/9","BOHOL","07","board member","3RD DISTRICT"," 87,101","May 15,2004","LIM, CONCEPCION ONG","LAKAS-CMD",TRUE
"28","GALBREATH, ESTER CORAZON JAMISOLA AZON                                 LAKAS-CMD                76,048   May 15,2004","2/9","BOHOL","07","board member","3RD DISTRICT"," 76,048","May 15,2004","GALBREATH, ESTER CORAZON JAMISOLA AZON","",TRUE
"29","TIROL, GODOFREDA OLAVIDES         FREDA                                KNP                      66,049   May 15,2004","2/9","BOHOL","07","board member","3RD DISTRICT"," 66,049","May 15,2004","TIROL, GODOFREDA OLAVIDES","KNP",TRUE
"30","CLARIN, OLEGARIO JR. LIM          ONDOY                                LAKAS-CMD                57,452","2/9","BOHOL","07","board member","3RD DISTRICT"," 57,452",NA,"CLARIN, OLEGARIO JR. LIM","LAKAS-CMD",TRUE
"31","TAC-AN, EDGAR ALLAN JIPOS         ALLAN                                PMP                      15,678","2/9","BOHOL","07","board member","3RD DISTRICT"," 15,678",NA,"TAC-AN, EDGAR ALLAN JIPOS","PMP",TRUE
"32","AMORA, LILIO JR. JAMERO           JUNBOY                               INDEPENDENT-KNP          14,038","2/9","BOHOL","07","board member","3RD DISTRICT"," 14,038",NA,"AMORA, LILIO JR. JAMERO","INDEPENDENT-KNP",TRUE
"33","DOBLAS, ALFREDO ELMER PETALCORIN  ALDO                                 INDEPENDENT-KNP          4,902","2/9","BOHOL","07","board member","3RD DISTRICT"," 4,902",NA,"DOBLAS, ALFREDO ELMER PETALCORIN  ALDO","",TRUE
"34","GULLAS, EDUARDO RIVERA               EDDIE                               NP                      135,533   May 15,2004","3/9","CEBU","07","congressman","1ST DISTRICT"," 135,533","May 15,2004","GULLAS, EDUARDO RIVERA","NP",TRUE
"35","RAMA, ENRIQUE PONCE                  ENRIC                               INDEPENDENT              41,658","3/9","CEBU","07","congressman","1ST DISTRICT"," 41,658",NA,"RAMA, ENRIQUE PONCE","INDEPENDENT",TRUE
