"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ALVAREZ, PANTALEON D.          BEBOT                               REPORMA                  45,376   May 16,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 45,376","May 16,1998","ALVAREZ, PANTALEON D.","REPORMA",TRUE
"2","AALA, SHIRLEY R.               SHIRLEY AALA                        LAMMP                    38,933","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 38,933",NA,"AALA, SHIRLEY R.","LAMMP",TRUE
"3","SAN JOSE, PEDRO B.             PETE                                LAKAS NUCD-UMDP          31,453","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 31,453",NA,"SAN JOSE, PEDRO B.","LAKAS NUCD-UMDP",TRUE
"4","FLOIRENDO, ANTONIO JR. D.      TONY BOY                            LAKAS NUCD-UMDP          54,480   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 54,480","May 18,1998","FLOIRENDO, ANTONIO JR. D.","LAKAS NUCD-UMDP",TRUE
"5","VILLANUEVA, WINSTOR M.         -                                   INDEPENDENT              31,074","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 31,074",NA,"VILLANUEVA, WINSTOR M.","",TRUE
"6","DURANO, PEDRO D.               -                                   REPORMA                  22,343","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 22,343",NA,"DURANO, PEDRO D.","",TRUE
"7","BARRIDO, ELI C.                -                                   LP                       1,221","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 1,221",NA,"BARRIDO, ELI C.","",TRUE
"8","ESCALERA, REMEDIOS L.          -                                   PDP-LABAN                1,042","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 1,042",NA,"ESCALERA, REMEDIOS L.","",TRUE
"9","PAGAS, TEODORA B.              -                                   PDP-LABAN                 213","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 213",NA,"PAGAS, TEODORA B.","",TRUE
"10","VALIENTE, ROMEL L.             -                                   REPORMA                    7","1/15","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 7",NA,"VALIENTE, ROMEL L.",NA,NA
"11","DEL ROSARIO, RODOLFO P.        DOLFO                               LAKAS NUCD-UMDP         194,550   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","governor",""," 194,550","May 18,1998","DEL ROSARIO, RODOLFO P.","LAKAS NUCD-UMDP",TRUE
"12","DECIERDO, EPIFANIO G.          NONOY                               PDP-LABAN                10,254","1/15","DAVAO (DAVAO DEL NORTE)","11","governor",""," 10,254",NA,"DECIERDO, EPIFANIO G.","PDP-LABAN",TRUE
"13","GEMENTIZA, GELACIO P.          YAYONG                              REPORMA                 109,985   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","vice governor",""," 109,985","May 18,1998","GEMENTIZA, GELACIO P.","REPORMA",TRUE
"14","SUAYBAGUIO, VICTORIO JR. R.    BABY                                LAKAS NUCD-UMDP         108,862","1/15","DAVAO (DAVAO DEL NORTE)","11","vice governor",""," 108,862",NA,"SUAYBAGUIO, VICTORIO JR. R.","LAKAS NUCD-UMDP",FALSE
"15","NENGASCA, OFELIA B.            FEL                                 PDP-LABAN                1,785","1/15","DAVAO (DAVAO DEL NORTE)","11","vice governor",""," 1,785",NA,"NENGASCA, OFELIA B.","PDP-LABAN",TRUE
"16","ISRAEL, ROGELIO E.             OGE DANGPANAN                       LAKAS NUCD-UMDP          74,188   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 74,188","May 18,1998","ISRAEL, ROGELIO E.","LAKAS NUCD-UMDP",TRUE
"17","OLAÑO, ARREL R.                NEL                                 LAKAS NUCD-UMDP          54,630   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 54,630","May 18,1998","OLAÑO, ARREL R.","LAKAS NUCD-UMDP",TRUE
"18","ZULUETA, ALAN D.               ALAN                                LAKAS NUCD-UMDP          54,446   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 54,446","May 18,1998","ZULUETA, ALAN D.","LAKAS NUCD-UMDP",TRUE
"19","LEMOS, MELITON D.              BOY                                 REPORMA                  46,042   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 46,042","May 18,1998","LEMOS, MELITON D.","REPORMA",TRUE
"20","RAPISTA, RODOLFO C.            RUDY                                REPORMA                  41,565   May 18,1998","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 41,565","May 18,1998","RAPISTA, RODOLFO C.","REPORMA",TRUE
"21","TURAN, DANIEL B.               DAN                                 LAKAS NUCD-UMDP          31,427","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 31,427",NA,"TURAN, DANIEL B.","LAKAS NUCD-UMDP",TRUE
"22","TAMONDONG-PICHON, SHEILA T.    -                                   LAKAS NUCD-UMDP          31,030","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 31,030",NA,"TAMONDONG-PICHON, SHEILA T.","",TRUE
"23","CUNTAPAY, CESAR B.             CESAR                               LAMMP                    27,682","1/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 27,682",NA,"CUNTAPAY, CESAR B.","LAMMP",TRUE
"24","CASIA, PEDRO T.                PEDRING                           REPORMA                  23,862","2/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 23,862",NA,"CASIA, PEDRO T.","REPORMA",TRUE
"25","MAGAT, CONRADO S.              CONDRING                          REPORMA                  20,866","2/15","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 20,866",NA,"MAGAT, CONRADO S.","REPORMA",TRUE
