"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ERMITA, EDUARDO R.              GENERAL ED                           LAKAS NUCD-UMDP          87,089   May 16,1998","1/26","BATANGAS","04","congressman","1ST DISTRICT"," 87,089","May 16,1998","ERMITA, EDUARDO R.","LAKAS NUCD-UMDP",TRUE
"2","APACIBLE, ROSARIO M.            CHARITO                              LAMMP                    77,459","1/26","BATANGAS","04","congressman","1ST DISTRICT"," 77,459",NA,"APACIBLE, ROSARIO M.","LAMMP",TRUE
"3","GARCIA, BENJAMIN II M.          -                                    INDEPENDENT              1,395","1/26","BATANGAS","04","congressman","1ST DISTRICT"," 1,395",NA,"GARCIA, BENJAMIN II M.","",TRUE
"4","ILAO, ISIDRO C.                 ISI                                  INDEPENDENT               212","1/26","BATANGAS","04","congressman","1ST DISTRICT"," 212",NA,"ILAO, ISIDRO C.","INDEPENDENT",TRUE
"5","MENDOZA, EDGAR L.               ED                                   LAKAS NUCD-UMDP          57,284   May 16,1998","1/26","BATANGAS","04","congressman","2ND DISTRICT"," 57,284","May 16,1998","MENDOZA, EDGAR L.","LAKAS NUCD-UMDP",TRUE
"6","MARTINEZ, GERALDINE MARIE B.    GIGI                                 INDEPENDENT              54,870","1/26","BATANGAS","04","congressman","2ND DISTRICT"," 54,870",NA,"MARTINEZ, GERALDINE MARIE B.","",TRUE
"7","CHAVEZ, MA. GUIA P.             GIYA                                 REPORMA                  32,524","1/26","BATANGAS","04","congressman","2ND DISTRICT"," 32,524",NA,"CHAVEZ, MA. GUIA P.","REPORMA",TRUE
"8","CABIGAO, RESTY R.               DOC                                  LP                       24,312","1/26","BATANGAS","04","congressman","2ND DISTRICT"," 24,312",NA,"CABIGAO, RESTY R.","LP",TRUE
"9","DIMAYACYAC, REYNALDO P.         REY                                  LAMMP                    7,187","1/26","BATANGAS","04","congressman","2ND DISTRICT"," 7,187",NA,"DIMAYACYAC, REYNALDO P.","LAMMP",TRUE
"10","LAUREL, JOSE MACARIO IV L.      CARIO                                LAKAS NUCD-UMDP          87,886   May 16,1998","1/26","BATANGAS","04","congressman","3RD DISTRICT"," 87,886","May 16,1998","LAUREL, JOSE MACARIO IV L.","LAKAS NUCD-UMDP",TRUE
"11","HERNANDEZ, NICOMEDES F.         DENNIS                               LP                       50,147","1/26","BATANGAS","04","congressman","3RD DISTRICT"," 50,147",NA,"HERNANDEZ, NICOMEDES F.","LP",TRUE
"12","RECTO, RALPH G.                 BASOY                                LAKAS NUCD-UMDP         187,682   May 16,1998","1/26","BATANGAS","04","congressman","4TH DISTRICT"," 187,682","May 16,1998","RECTO, RALPH G.","LAKAS NUCD-UMDP",TRUE
"13","CORDERO, EFREN L.               BOY                                  LAMMP                    18,120","1/26","BATANGAS","04","congressman","4TH DISTRICT"," 18,120",NA,"CORDERO, EFREN L.","LAMMP",TRUE
"14","DIMAYUGA, JOSE R.               PEPING                               INDEPENDENT              2,025","1/26","BATANGAS","04","congressman","4TH DISTRICT"," 2,025",NA,"DIMAYUGA, JOSE R.","INDEPENDENT",TRUE
"15","MANDANAS, HERMILANDO I.         DODO                                 REPORMA                 518,950   May 16,1998","1/26","BATANGAS","04","governor",""," 518,950","May 16,1998","MANDANAS, HERMILANDO I.","REPORMA",TRUE
"16","ERMITA, EDWIN R.                ERE                                  LAKAS NUCD-UMDP         193,796","1/26","BATANGAS","04","governor",""," 193,796",NA,"ERMITA, EDWIN R.","LAKAS NUCD-UMDP",TRUE
"17","DEBOLGADO, DANILO M.            AGILA NG BATANGAS                    INDEPENDENT              5,461","1/26","BATANGAS","04","governor",""," 5,461",NA,"DEBOLGADO, DANILO M.","INDEPENDENT",TRUE
"18","ANZA, JOSE V.                   NINONG                               PDP-LABAN                1,004","1/26","BATANGAS","04","governor",""," 1,004",NA,"ANZA, JOSE V.","PDP-LABAN",TRUE
"19","RECTO, RICHARD G.               RICKY                                LAKAS NUCD-UMDP         336,794   May 16,1998","1/26","BATANGAS","04","vice governor",""," 336,794","May 16,1998","RECTO, RICHARD G.","LAKAS NUCD-UMDP",TRUE
"20","LIRIO, FRANCISCO E.             PAQUITO                              LAMMP                   295,029","1/26","BATANGAS","04","vice governor",""," 295,029",NA,"LIRIO, FRANCISCO E.","LAMMP",TRUE
"21","DELOS REYES, FELIX V.           FELIX                                PBM                      8,758","1/26","BATANGAS","04","vice governor",""," 8,758",NA,"DELOS REYES, FELIX V.","PBM",TRUE
"22","BAUSAS, LORENZO C.             LORING                              LAKAS NUCD-UMDP          72,562   May 16,1998","2/26","BATANGAS","04","vice governor",""," 72,562","May 16,1998","BAUSAS, LORENZO C.","LAKAS NUCD-UMDP",TRUE
"23","DIAZ, RICARDO T.               CARDING                             LAKAS NUCD-UMDP          55,279   May 16,1998","2/26","BATANGAS","04","vice governor",""," 55,279","May 16,1998","DIAZ, RICARDO T.","LAKAS NUCD-UMDP",TRUE
"24","ATIENZA, VICENTE JR. B.        BABY                                LAMMP                    47,815","2/26","BATANGAS","04","vice governor",""," 47,815",NA,"ATIENZA, VICENTE JR. B.","LAMMP",TRUE
"25","DE LAS ALAS, ANTONIO JR. M.    TONY                                LAMMP                    33,081","2/26","BATANGAS","04","vice governor",""," 33,081",NA,"DE LAS ALAS, ANTONIO JR. M.","",TRUE
"26","ESTILO, EPHRAIM A.             PM                                  INDEPENDENT              9,857","2/26","BATANGAS","04","vice governor",""," 9,857",NA,"ESTILO, EPHRAIM A.","INDEPENDENT",TRUE
