"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","VALERA, VICENTE YSIDRO P.      VICSYD                             LAKAS NUCD-UMDP          49,327   May 16,1998","1/11","ABRA","CAR","congressman",NA," 49,327","May 16,1998","VALERA, VICENTE YSIDRO P.","LAKAS NUCD-UMDP",TRUE
"2","BALWEG, CONRADO M.             FATHER                             LAMMP                    28,891","1/11","ABRA","CAR","congressman",NA," 28,891",NA,"BALWEG, CONRADO M.","LAMMP",TRUE
"3","PURUGGANAN, EUSTAQUIO A.       AQUIO                              KBL                       888","1/11","ABRA","CAR","congressman",NA," 888",NA,"PURUGGANAN, EUSTAQUIO A.","KBL",TRUE
"4","BORGOÑA, ANTONIO B.            TONY                               INDEPENDENT               154","1/11","ABRA","CAR","congressman",NA," 154",NA,"BORGOÑA, ANTONIO B.","INDEPENDENT",TRUE
"5","GUINABAN, JOHNNY T.            AMMENG                             LP                        136","1/11","ABRA","CAR","congressman",NA," 136",NA,"GUINABAN, JOHNNY T.","LP",TRUE
"6","VALERA, MA. ZITA C.            MS. CHING                          LAKAS NUCD-UMDP          41,403   May 16,1998","1/11","ABRA","CAR","governor",""," 41,403","May 16,1998","VALERA, MA. ZITA C.","LAKAS NUCD-UMDP",TRUE
"7","MASAOAY, NESTOR V.             NESTOR                             LAMMP                    36,154","1/11","ABRA","CAR","governor",""," 36,154",NA,"MASAOAY, NESTOR V.","LAMMP",TRUE
"8","BARBA, RICARDO V.              RIC                                KBL                       821","1/11","ABRA","CAR","governor",""," 821",NA,"BARBA, RICARDO V.","KBL",TRUE
"9","BALMACEDA, ERASTO C.           ERING                              INDEPENDENT               709","1/11","ABRA","CAR","governor",""," 709",NA,"BALMACEDA, ERASTO C.","INDEPENDENT",TRUE
"10","BERSAMIN, LUIS JR. P.          CHITO                              LAKAS NUCD-UMDP          48,042   May 16,1998","1/11","ABRA","CAR","vice governor",""," 48,042","May 16,1998","BERSAMIN, LUIS JR. P.","LAKAS NUCD-UMDP",TRUE
"11","VASQUEZ, ISIDRO F.             SYO                                LAMMP                    25,920","1/11","ABRA","CAR","vice governor",""," 25,920",NA,"VASQUEZ, ISIDRO F.","LAMMP",TRUE
"12","DANGWAN, ROLDAN G.             LUDRING                            KBL                       322","1/11","ABRA","CAR","vice governor",""," 322",NA,"DANGWAN, ROLDAN G.","KBL",TRUE
"13","SOMERA, ROLANDO D.             LANDO                              LAKAS NUCD-UMDP          18,368   May 16,1998","1/11","ABRA","CAR","board member","1ST DISTRICT"," 18,368","May 16,1998","SOMERA, ROLANDO D.","LAKAS NUCD-UMDP",TRUE
"14","BIDES, ELMER B.                ELMER                              LAKAS NUCD-UMDP          15,931   May 16,1998","1/11","ABRA","CAR","board member","1ST DISTRICT"," 15,931","May 16,1998","BIDES, ELMER B.","LAKAS NUCD-UMDP",TRUE
"15","GAYYED, CASIMIRO J.            MERONG                             LAKAS NUCD-UMDP          13,258   May 16,1998","1/11","ABRA","CAR","board member","1ST DISTRICT"," 13,258","May 16,1998","GAYYED, CASIMIRO J.","LAKAS NUCD-UMDP",TRUE
"16","PACUÑO, ERNESTO P.             ERNING                             LAKAS NUCD-UMDP          12,665   May 16,1998","1/11","ABRA","CAR","board member","1ST DISTRICT"," 12,665","May 16,1998","PACUÑO, ERNESTO P.","LAKAS NUCD-UMDP",TRUE
"17","VALERA, VICTOR A.              VIC                                LAKAS NUCD-UMDP          10,635","1/11","ABRA","CAR","board member","1ST DISTRICT"," 10,635",NA,"VALERA, VICTOR A.","LAKAS NUCD-UMDP",TRUE
"18","GONZALES, LAUREANO JR. C.      LORY                               LAKAS NUCD-UMDP          7,409","1/11","ABRA","CAR","board member","1ST DISTRICT"," 7,409",NA,"GONZALES, LAUREANO JR. C.","LAKAS NUCD-UMDP",TRUE
"19","GONZALES, LEO A.               KADYO                              LAMMP                    7,398","1/11","ABRA","CAR","board member","1ST DISTRICT"," 7,398",NA,"GONZALES, LEO A.","LAMMP",TRUE
"20","MADRIAGA, DOMINGO JR. B.       DEO                                LAMMP                    7,059","1/11","ABRA","CAR","board member","1ST DISTRICT"," 7,059",NA,"MADRIAGA, DOMINGO JR. B.","LAMMP",TRUE
"21","CABANILLA, ALBERTO B.          BERTO                              LAKAS NUCD-UMDP          5,385","1/11","ABRA","CAR","board member","1ST DISTRICT"," 5,385",NA,"CABANILLA, ALBERTO B.","LAKAS NUCD-UMDP",TRUE
"22","BIGORNIA, DOMINADOR N.         ADOR                               INDEPENDENT              3,551","1/11","ABRA","CAR","board member","1ST DISTRICT"," 3,551",NA,"BIGORNIA, DOMINADOR N.","INDEPENDENT",TRUE
"23","VALERA, CLARITO T.             LITONG                             LAKAS NUCD-UMDP          20,345   May 16,1998","1/11","ABRA","CAR","board member","2ND DISTRICT"," 20,345","May 16,1998","VALERA, CLARITO T.","LAKAS NUCD-UMDP",TRUE
"24","LO, JAIME A.                  ENG. HING                          LAKAS NUCD-UMDP          18,685   May 16,1998","2/11","ABRA","CAR","board member","2ND DISTRICT"," 18,685","May 16,1998","LO, JAIME A.","LAKAS NUCD-UMDP",TRUE
