"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ABAD, FLORENCIO B.             BUTCH                               LP                       4,360    May 13,1998","1/9","BATANES","02","congressman",NA," 4,360","May 13,1998","ABAD, FLORENCIO B.","LP",TRUE
"2","CASTILLEJOS, TELESFORO F.      PURO                                LAKAS NUCD-UMDP          2,303","1/9","BATANES","02","congressman",NA," 2,303",NA,"CASTILLEJOS, TELESFORO F.","LAKAS NUCD-UMDP",TRUE
"3","GATO, VICENTE D.               VIC/ENTENG/VICENTE                  LP                       4,677    May 13,1998","1/9","BATANES","02","governor",""," 4,677","May 13,1998","GATO, VICENTE D.","LP",TRUE
"4","MALUPA, MARCUS AURELIUS P.     BUTCH                               LAKAS NUCD-UMDP          1,591","1/9","BATANES","02","governor",""," 1,591",NA,"MALUPA, MARCUS AURELIUS P.","LAKAS NUCD-UMDP",TRUE
"5","MARZAN, SERGIO P.              COL/MARZAN                          REPORMA                   270","1/9","BATANES","02","governor",""," 270",NA,"MARZAN, SERGIO P.","REPORMA",TRUE
"6","CASTILLEJOS, CONSTANTE A.      DANTE                               LAMMP                    4,042    May 13,1998","1/9","BATANES","02","vice governor",""," 4,042","May 13,1998","CASTILLEJOS, CONSTANTE A.","LAMMP",TRUE
"7","ALCANTARA, ELENA V.            ELING                               LAKAS NUCD-UMDP          2,401","1/9","BATANES","02","vice governor",""," 2,401",NA,"ALCANTARA, ELENA V.","LAKAS NUCD-UMDP",TRUE
"8","VIOLA, MANUEL G.               MANNY                               LP                       1,775    May 13,1998","1/9","BATANES","02","board member","1ST DISTRICT"," 1,775","May 13,1998","VIOLA, MANUEL G.","LP",TRUE
"9","ESTAMO, TOMAS JR. R.           TOM                                 LP                       1,645    May 13,1998","1/9","BATANES","02","board member","1ST DISTRICT"," 1,645","May 13,1998","ESTAMO, TOMAS JR. R.","LP",TRUE
"10","ARGONZA, ALEXANDER E.          ALEX                                LAKAS NUCD-UMDP          1,593    May 13,1998","1/9","BATANES","02","board member","1ST DISTRICT"," 1,593","May 13,1998","ARGONZA, ALEXANDER E.","LAKAS NUCD-UMDP",TRUE
"11","JOVES, CATALINA C.             NINAY                               LAKAS NUCD-UMDP          1,495","1/9","BATANES","02","board member","1ST DISTRICT"," 1,495",NA,"JOVES, CATALINA C.","LAKAS NUCD-UMDP",TRUE
"12","TABUT, VALERIO T.              LARING                              LP                       1,284","1/9","BATANES","02","board member","1ST DISTRICT"," 1,284",NA,"TABUT, VALERIO T.","LP",TRUE
"13","AVANCEÑA, RUCELA H.            LUCING                              LAKAS NUCD-UMDP          1,242","1/9","BATANES","02","board member","1ST DISTRICT"," 1,242",NA,"AVANCEÑA, RUCELA H.","LAKAS NUCD-UMDP",TRUE
"14","IBAÑES, CHARLES I C.           ONE/1/WAN                           LP                       1,754    May 13,1998","1/9","BATANES","02","board member","2ND DISTRICT"," 1,754","May 13,1998","IBAÑES, CHARLES I C.","LP",TRUE
"15","BALBAO, VICTORIO C.            TORIO                               LP                       1,491    May 13,1998","1/9","BATANES","02","board member","2ND DISTRICT"," 1,491","May 13,1998","BALBAO, VICTORIO C.","LP",TRUE
"16","FABERES, MIGDONIO C.           DONG                                LP                       1,203    May 13,1998","1/9","BATANES","02","board member","2ND DISTRICT"," 1,203","May 13,1998","FABERES, MIGDONIO C.","LP",TRUE
"17","ACEBES, ROMEO C.               ROMY                                LAKAS NUCD-UMDP          1,031","1/9","BATANES","02","board member","2ND DISTRICT"," 1,031",NA,"ACEBES, ROMEO C.","LAKAS NUCD-UMDP",TRUE
"18","VALIENTE, PEDRO C.             PEDRO                               LAKAS NUCD-UMDP           891","1/9","BATANES","02","board member","2ND DISTRICT"," 891",NA,"VALIENTE, PEDRO C.","LAKAS NUCD-UMDP",TRUE
"19","CATALUÑA, JULIET P.            JULIET                              INDEPENDENT               855","1/9","BATANES","02","board member","2ND DISTRICT"," 855",NA,"CATALUÑA, JULIET P.","INDEPENDENT",TRUE
"20","CAPITO, NESTOR B.              NESTOR                              LAKAS NUCD-UMDP           818","1/9","BATANES","02","board member","2ND DISTRICT"," 818",NA,"CAPITO, NESTOR B.","LAKAS NUCD-UMDP",TRUE
"21","CASTAÑO, JORGE E.              JORGE/GEORGE                        INDEPENDENT               626","1/9","BATANES","02","board member","2ND DISTRICT"," 626",NA,"CASTAÑO, JORGE E.","INDEPENDENT",TRUE
"22","PONCE ENRILE, JUAN JR. C.      JACKIE                           INDEPENDENT              97,214   May 16,1998","2/9","CAGAYAN","02","congressman","1ST DISTRICT"," 97,214","May 16,1998","PONCE ENRILE, JUAN JR. C.","INDEPENDENT",TRUE
"23","PADILLA, VICTOR I.             BING                             INDEPENDENT              9,956","2/9","CAGAYAN","02","congressman","1ST DISTRICT"," 9,956",NA,"PADILLA, VICTOR I.","INDEPENDENT",TRUE
