"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BADELLES, ALIPIO CIRILO V.      TEKBONG                          LAMMP                    61,070   May 19,1998","1/7","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 61,070","May 19,1998","BADELLES, ALIPIO CIRILO V.","LAMMP",TRUE
"2","JACINTO, RAMON P.               RJ                               LAKAS NUCD-UMDP          53,769","1/7","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 53,769",NA,"JACINTO, RAMON P.","LAKAS NUCD-UMDP",TRUE
"3","BORJA, ANTHONY URIEL G.         JOJO                             INDEPENDENT              26,813","1/7","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 26,813",NA,"BORJA, ANTHONY URIEL G.","INDEPENDENT",TRUE
"4","VILLANUEVA, FLORENCE E.         FLOR                             INDEPENDENT               437","1/7","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 437",NA,"VILLANUEVA, FLORENCE E.","INDEPENDENT",TRUE
"5","SIANGCO, MICHAEL V.             JAGGIE                           INDEPENDENT                84","1/7","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 84",NA,"SIANGCO, MICHAEL V.","INDEPENDENT",TRUE
"6","MANGOTARA, ABDULLAH S.          DABS                             LAKAS NUCD-UMDP          55,545   May 18,1998","1/7","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 55,545","May 18,1998","MANGOTARA, ABDULLAH S.","LAKAS NUCD-UMDP",TRUE
"7","HISULER, MARIO E.               MARIO                            LAMMP                    30,773","1/7","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 30,773",NA,"HISULER, MARIO E.","LAMMP",TRUE
"8","DIMAPORO, ALLAN C.              AL                               REPORMA                  8,152","1/7","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 8,152",NA,"DIMAPORO, ALLAN C.","REPORMA",TRUE
"9","SALIMBANGON, FE Y.              FE                               INDEPENDENT              3,299","1/7","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 3,299",NA,"SALIMBANGON, FE Y.","INDEPENDENT",TRUE
"10","DIMAPORO, IMELDA Q.             ANGGING                          LAKAS NUCD-UMDP          92,099   May 18,1998","1/7","LANAO DEL NORTE","12","governor",""," 92,099","May 18,1998","DIMAPORO, IMELDA Q.","LAKAS NUCD-UMDP",TRUE
