"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","*ADIONG, MAMINTAL M.            MIKE                                LAKAS NUCD-UMDP          80,307  August 7,1998 JULY 4, 18, 25, 1998 - SPECIAL ELECTION","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 80,307","August 7,1998","*ADIONG, MAMINTAL M.","LAKAS NUCD-UMDP",TRUE
"2","ALONTO, ABULKHAYR A.           -                                   INDEPENDENT              56,503","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 56,503",NA,"ALONTO, ABULKHAYR A.","",TRUE
"3","TAMANO, OMBRA A.               DOC                                 LAMMP                    10,978","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 10,978",NA,"TAMANO, OMBRA A.","LAMMP",TRUE
"4","PACASUM, SARIPADA A.           EDGAR                               INDEPENDENT               791","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 791",NA,"PACASUM, SARIPADA A.","INDEPENDENT",TRUE
"5","CALI, AHMAD P.                 ABU AZAM                            LAMMP                     339","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 339",NA,"CALI, AHMAD P.","LAMMP",TRUE
"6","MAGARANG, BUSAR M.             ABDUL GAFFAR                        KBL                       298","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 298",NA,"MAGARANG, BUSAR M.","KBL",TRUE
"7","BULEG, MEDIOR A.               -                                   PPP                       137","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 137",NA,"BULEG, MEDIOR A.","",TRUE
"8","*MACARAMBON, BENASING JR. O.    JUN                                 OMPIA                    46,462  August 7,1998 JULY 4, 18, 25, 1998 - SPECIAL ELECTION","1/10","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 46,462","August 7,1998","*MACARAMBON, BENASING JR. O.","",TRUE
"9","BALINDONG, PANGALIAN M.        ALI                                 LAKAS NUCD-UMDP          44,544","1/10","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 44,544",NA,"BALINDONG, PANGALIAN M.","LAKAS NUCD-UMDP",TRUE
"10","LUCMAN, JAMIL P.               JIMMY/JPL                           LAMMP                    6,173","1/10","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 6,173",NA,"LUCMAN, JAMIL P.","LAMMP",TRUE
"11","MAMACOTAO, TAURAC A.           SULTAN                              PMP                      1,592","1/10","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 1,592",NA,"MAMACOTAO, TAURAC A.","PMP",TRUE
"12","MAROHOMBSAR, KASAN A.          KAS                                 NP                        294","1/10","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 294",NA,"MAROHOMBSAR, KASAN A.","NP",TRUE
"13","*MUTILAN, ALIM MAHID M.         MAHID                               LAKAS NUCD-UMDP         112,414  August 7,1998 JULY 4, 18, 25, 1998 - SPECIAL ELECTION","1/10","LANAO DEL SUR","ARMM","governor",""," 112,414","August 7,1998","*MUTILAN, ALIM MAHID M.","LAKAS NUCD-UMDP",TRUE
"14","SARANGANI, AMERODDIN A.        RANAO-RAGAT                         LAMMP                    78,080","1/10","LANAO DEL SUR","ARMM","governor",""," 78,080",NA,"SARANGANI, AMERODDIN A.","LAMMP",TRUE
