"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BANAAG, LEOVIGILDO B.           BOY                                 LAMMP                    37,312   May 14,1998","1/15","AGUSAN DEL NORTE","10","congressman","1ST DISTRICT"," 37,312","May 14,1998","BANAAG, LEOVIGILDO B.","LAMMP",TRUE
"2","BALANON, EMMANUEL D.            NONONG                              REPORMA                  25,283","1/15","AGUSAN DEL NORTE","10","congressman","1ST DISTRICT"," 25,283",NA,"BALANON, EMMANUEL D.","REPORMA",TRUE
"3","GO, DOLFUSS R.                  DOLF                                LAKAS NUCD-UMDP          21,359","1/15","AGUSAN DEL NORTE","10","congressman","1ST DISTRICT"," 21,359",NA,"GO, DOLFUSS R.","LAKAS NUCD-UMDP",TRUE
"4","CEMBRANO, JAIME JR. M.          DODO                                INDEPENDENT              8,169","1/15","AGUSAN DEL NORTE","10","congressman","1ST DISTRICT"," 8,169",NA,"CEMBRANO, JAIME JR. M.","INDEPENDENT",TRUE
"5","BIOL, JAMES A.                  DATU PALASAN                        INDEPENDENT               184","1/15","AGUSAN DEL NORTE","10","congressman","1ST DISTRICT"," 184",NA,"BIOL, JAMES A.","INDEPENDENT",TRUE
"6","LIBARIOS, ROAN I.               ROAN                                LAMMP                    48,623   May 15,1998","1/15","AGUSAN DEL NORTE","10","congressman","2ND DISTRICT"," 48,623","May 15,1998","LIBARIOS, ROAN I.","LAMMP",TRUE
"7","RAMA, EDUARDO SR. L.            EDDIE                               LAKAS NUCD-UMDP          42,029","1/15","AGUSAN DEL NORTE","10","congressman","2ND DISTRICT"," 42,029",NA,"RAMA, EDUARDO SR. L.","LAKAS NUCD-UMDP",TRUE
"8","QUIAMJOT, GERARDO C.            GERRY                               INDEPENDENT                83","1/15","AGUSAN DEL NORTE","10","congressman","2ND DISTRICT"," 83",NA,"QUIAMJOT, GERARDO C.","INDEPENDENT",TRUE
"9","AMANTE, MA.ANGELICA ROSEDELL M. ANGEL                               LAKAS NUCD-UMDP          67,735   May 15,1998","1/15","AGUSAN DEL NORTE","10","governor",""," 67,735","May 15,1998","AMANTE, MA.ANGELICA ROSEDELL M. ANGEL","",TRUE
"10","ATUPAN, VENERANDO D.            VENER                               LAMMP                    26,472","1/15","AGUSAN DEL NORTE","10","governor",""," 26,472",NA,"ATUPAN, VENERANDO D.","LAMMP",TRUE
"11","GENITE, ERLINDA V.              LINDA                               INDEPENDENT               306","1/15","AGUSAN DEL NORTE","10","governor",""," 306",NA,"GENITE, ERLINDA V.","INDEPENDENT",TRUE
"12","TEJANO, ROBERTO T.              BOB                                 LAKAS NUCD-UMDP          58,822   May 15,1998","1/15","AGUSAN DEL NORTE","10","vice governor",""," 58,822","May 15,1998","TEJANO, ROBERTO T.","LAKAS NUCD-UMDP",TRUE
"13","CAGAMPANG, JOSE M.              JOE                                 LAMMP                    24,291","1/15","AGUSAN DEL NORTE","10","vice governor",""," 24,291",NA,"CAGAMPANG, JOSE M.","LAMMP",TRUE
"14","DEVENOSA, ROGATO L.             TATONG                              INDEPENDENT               820","1/15","AGUSAN DEL NORTE","10","vice governor",""," 820",NA,"DEVENOSA, ROGATO L.","INDEPENDENT",TRUE
"15","GARAY, ALEX R.                  ALEX                                LAKAS NUCD-UMDP          2,742    May 15,1998","1/15","AGUSAN DEL NORTE","10","board member","1ST DISTRICT"," 2,742","May 15,1998","GARAY, ALEX R.","LAKAS NUCD-UMDP",TRUE
"16","YU, JOSE L.                     BOY PEDANG                          LAMMP                    2,655","1/15","AGUSAN DEL NORTE","10","board member","1ST DISTRICT"," 2,655",NA,"YU, JOSE L.","LAMMP",TRUE
"17","ASIS, MARIANA K.                DAYDAY                              INDEPENDENT                93","1/15","AGUSAN DEL NORTE","10","board member","1ST DISTRICT"," 93",NA,"ASIS, MARIANA K.","INDEPENDENT",TRUE
"18","CORVERA, DALE B.                DEL                                 LAKAS NUCD-UMDP          40,983   May 15,1998","1/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 40,983","May 15,1998","CORVERA, DALE B.","LAKAS NUCD-UMDP",TRUE
"19","AGO, LUISITO B.                 DODO                                LAKAS NUCD-UMDP          37,915   May 15,1998","1/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 37,915","May 15,1998","AGO, LUISITO B.","LAKAS NUCD-UMDP",TRUE
"20","MAGTIBAY, HECTOR B.             DOCTOR                              LAKAS NUCD-UMDP          37,597   May 15,1998","1/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 37,597","May 15,1998","MAGTIBAY, HECTOR B.","LAKAS NUCD-UMDP",TRUE
"21","CENIZA, ERNIE M.                ELY                                 LAKAS NUCD-UMDP          37,213   May 15,1998","1/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 37,213","May 15,1998","CENIZA, ERNIE M.","LAKAS NUCD-UMDP",TRUE
"22","TAN, ANDRES R.                  ANDRING                             LAKAS NUCD-UMDP          34,930   May 15,1998","1/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 34,930","May 15,1998","TAN, ANDRES R.","LAKAS NUCD-UMDP",TRUE
"23","BUNGABONG, RAMON G.         RAMBU                               LAKAS NUCD-UMDP          34,839   May 15,1998","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 34,839","May 15,1998","BUNGABONG, RAMON G.","LAKAS NUCD-UMDP",TRUE
"24","FABE, ROGELIO O.            ROGER                               LAMMP                    29,786   May 15,1998","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 29,786","May 15,1998","FABE, ROGELIO O.","LAMMP",TRUE
"25","SATORRE, BENJAMIN L.        BEN                                 LAMMP                    26,588","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 26,588",NA,"SATORRE, BENJAMIN L.","LAMMP",TRUE
"26","ESPINO, ANTONIO SR. C.      AUDITOR                             LAKAS NUCD-UMDP          24,403","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 24,403",NA,"ESPINO, ANTONIO SR. C.","LAKAS NUCD-UMDP",TRUE
"27","MONIZA, LLOYD L.            MONS                                LAMMP                    23,769","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 23,769",NA,"MONIZA, LLOYD L.","LAMMP",TRUE
"28","ATEGA, VIRGILIO JR. B.      JUN                                 LAMMP                    23,433","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 23,433",NA,"ATEGA, VIRGILIO JR. B.","LAMMP",TRUE
"29","MORTOLA, FEDERICO M.        BOY                                 LAMMP                    20,422","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 20,422",NA,"MORTOLA, FEDERICO M.","LAMMP",TRUE
"30","CUMBA, ROSITA C.            ROSING                              LAMMP                    20,170","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 20,170",NA,"CUMBA, ROSITA C.","LAMMP",TRUE
"31","CUADRA, EDWIN L.            DODONG                              LAMMP                    18,675","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 18,675",NA,"CUADRA, EDWIN L.","LAMMP",TRUE
"32","ASIREDANO, ALBERTO O.       KUYA BERTO CABALLERO                INDEPENDENT              2,996","2/15","AGUSAN DEL NORTE","10","board member","2ND DISTRICT"," 2,996",NA,"ASIREDANO, ALBERTO O.","INDEPENDENT",TRUE
"33","BASCUG, ALEX G.                ALEX                                LAMMP                    60,823   May 15,1998","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 60,823","May 15,1998","BASCUG, ALEX G.","LAMMP",TRUE
"34","SANSAET, GENEROSO S.           GENE                                INDEPENDENT              40,714","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 40,714",NA,"SANSAET, GENEROSO S.","INDEPENDENT",TRUE
"35","PROCHINA, TIMOTEO B.           TIYOY                               LAKAS NUCD-UMDP          35,323","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 35,323",NA,"PROCHINA, TIMOTEO B.","LAKAS NUCD-UMDP",TRUE
"36","CALO, TYRONE POWER D.          UTO                                 INDEPENDENT              6,148","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 6,148",NA,"CALO, TYRONE POWER D.","INDEPENDENT",TRUE
"37","CALANGI, ROBERTO E.            BOB KALANGI                         NP                       2,259","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 2,259",NA,"CALANGI, ROBERTO E.","NP",TRUE
"38","CEBUALA, BIENVENIDO M.         PASTOR BEN                          KBL                      1,690","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 1,690",NA,"CEBUALA, BIENVENIDO M.","KBL",TRUE
"39","AUSMOLO, ROBERTO P.            ROBERT                              LP                        180","3/15","AGUSAN DEL SUR","10","congressman","2ND DISTRICT"," 180",NA,"AUSMOLO, ROBERTO P.","LP",TRUE
