"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","LIBANAN, MARCELINO C.             NONOY                              LAMMP                    44,690   May 16,1998","1/12","EASTERN SAMAR","08","congressman",NA," 44,690","May 16,1998","LIBANAN, MARCELINO C.","LAMMP",TRUE
"2","SISON, CORNELIO M.                NELLY                              LAKAS NUCD-UMDP          42,211","1/12","EASTERN SAMAR","08","congressman",NA," 42,211",NA,"SISON, CORNELIO M.","LAKAS NUCD-UMDP",TRUE
"3","BARBO, LUTGARDO B.                LUTZ                               LP                       32,203","1/12","EASTERN SAMAR","08","congressman",NA," 32,203",NA,"BARBO, LUTGARDO B.","LP",TRUE
"4","DOCENA, AGUSTIN B.                TING                               NPC                      1,406","1/12","EASTERN SAMAR","08","congressman",NA," 1,406",NA,"DOCENA, AGUSTIN B.","NPC",TRUE
"5","LOVELY, VICTOR JR. B.             JUN                                AKSYON                    242","1/12","EASTERN SAMAR","08","congressman",NA," 242",NA,"LOVELY, VICTOR JR. B.","AKSYON",TRUE
"6","AMBIL, RUPERTO JR. A.             PERTING                            LAMMP                    46,547   May 16,1998","1/12","EASTERN SAMAR","08","governor",""," 46,547","May 16,1998","AMBIL, RUPERTO JR. A.","LAMMP",TRUE
"7","RAMIREZ, JOSE T.                  JOE RAM                            LAKAS NUCD-UMDP          45,934","1/12","EASTERN SAMAR","08","governor",""," 45,934",NA,"RAMIREZ, JOSE T.","LAKAS NUCD-UMDP",TRUE
"8","CAMENFORTE, CAMILO A.             CAMIE                              LP                       14,288","1/12","EASTERN SAMAR","08","governor",""," 14,288",NA,"CAMENFORTE, CAMILO A.","LP",TRUE
"9","EVARDONE, FELIPE P.               PHILIP                             INDEPENDENT              8,667","1/12","EASTERN SAMAR","08","governor",""," 8,667",NA,"EVARDONE, FELIPE P.","INDEPENDENT",TRUE
"10","VILLACARILLO, EMILIANA P.         EWIT                               LAMMP                    46,083   May 16,1998","1/12","EASTERN SAMAR","08","vice governor",""," 46,083","May 16,1998","VILLACARILLO, EMILIANA P.","LAMMP",TRUE
"11","ALIDO, GERMAN JOSELITO B.         TITO                               LAKAS NUCD-UMDP          41,822","1/12","EASTERN SAMAR","08","vice governor",""," 41,822",NA,"ALIDO, GERMAN JOSELITO B.","LAKAS NUCD-UMDP",TRUE
"12","NICART, FLORENCIO L.              POLENG                             LP                       11,172","1/12","EASTERN SAMAR","08","vice governor",""," 11,172",NA,"NICART, FLORENCIO L.","LP",TRUE
"13","GERNA, NONATO A.                  TATONG                             INDEPENDENT              6,426","1/12","EASTERN SAMAR","08","vice governor",""," 6,426",NA,"GERNA, NONATO A.","INDEPENDENT",TRUE
"14","SUYOT, FEDERICO B.                DR. SUYOT                          LAMMP                    20,964   May 16,1998","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 20,964","May 16,1998","SUYOT, FEDERICO B.","LAMMP",TRUE
"15","UMIL, BENJAMIN JR. M.             BENJUN                             LAMMP                    18,881   May 16,1998","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 18,881","May 16,1998","UMIL, BENJAMIN JR. M.","LAMMP",TRUE
"16","ALCONABA, REYNALDO A.             NAYDO                              LAKAS NUCD-UMDP          18,762   May 16,1998","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 18,762","May 16,1998","ALCONABA, REYNALDO A.","LAKAS NUCD-UMDP",TRUE
"17","CABATO, CELESTINO A.              TINOY                              LAKAS NUCD-UMDP          17,927   May 16,1998","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 17,927","May 16,1998","CABATO, CELESTINO A.","LAKAS NUCD-UMDP",TRUE
"18","GELI, LEANDER R.                  LEAN                               LAMMP                    16,954   May 16,1998","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 16,954","May 16,1998","GELI, LEANDER R.","LAMMP",TRUE
"19","OPINION, JOSE VICENTE RAYMUNDO M. JOVI                               LAKAS NUCD-UMDP          16,248","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 16,248",NA,"OPINION, JOSE VICENTE RAYMUNDO M. JOVI","",TRUE
"20","CARDONA, LEO DOUGLAS JR. V.       DR. C.                             LP                       15,204","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 15,204",NA,"CARDONA, LEO DOUGLAS JR. V.","LP",TRUE
"21","PALINES, ERNESTO A.               EDOY                               LAKAS NUCD-UMDP          15,041","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 15,041",NA,"PALINES, ERNESTO A.","LAKAS NUCD-UMDP",TRUE
"22","DOCENA, EDWIN B.                  EDWIN                              LAKAS NUCD-UMDP          14,888","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 14,888",NA,"DOCENA, EDWIN B.","LAKAS NUCD-UMDP",TRUE
"23","SABATE, CELESTINO B.              TINOY                              LAMMP                    14,327","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 14,327",NA,"SABATE, CELESTINO B.","LAMMP",TRUE
"24","MONTES, ALMARIO A.                MARIO                              LAMMP                    9,620","1/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 9,620",NA,"MONTES, ALMARIO A.","LAMMP",TRUE
"25","MIGUEL, ANGELO H.               GEL-GEL                           LP                       8,894","2/12","EASTERN SAMAR","08","board member","1ST DISTRICT"," 8,894",NA,"MIGUEL, ANGELO H.","LP",TRUE
