"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","OLAÑO, ARREL R.                REL                                   LAKAS NUCD-UMDP          37,164   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 37,164","May 18,2001","OLAÑO, ARREL R.","LAKAS NUCD-UMDP",TRUE
"2","SATOR, BALTAZAR A.             BAL                                   PDSP                     28,818","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 28,818",NA,"SATOR, BALTAZAR A.","PDSP",TRUE
"3","LEMOS, MELITON D.              BOY                                   REPORMA-LM               23,546","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 23,546",NA,"LEMOS, MELITON D.","REPORMA-LM",TRUE
"4","CUBELO, CARLITO B.             LITO                                  INDEPENDENT              8,300","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 8,300",NA,"CUBELO, CARLITO B.","INDEPENDENT",TRUE
"5","BERNARDINO, ADOLFO N.          DOLF, ADOLF HITLER                    INDEPENDENT               173","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","1ST DISTRICT"," 173",NA,"BERNARDINO, ADOLFO N.","INDEPENDENT",TRUE
"6","FLOIRENDO, ANTONIO JR. DR.     TONY BOY                              LAKAS NUCD-UMDP          65,040   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 65,040","May 18,2001","FLOIRENDO, ANTONIO JR. DR.","LAKAS NUCD-UMDP",TRUE
"7","SEBASTIAN, JUNE GENEVIEVE R.   QUEEN                                 REPORMA-LM               45,399","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 45,399",NA,"SEBASTIAN, JUNE GENEVIEVE R.   QUEEN","",TRUE
"8","MACADANGDANG, OSWALDO A.       WALLY                                 INDEPENDENT              2,316","1/12","DAVAO (DAVAO DEL NORTE)","11","congressman","2ND DISTRICT"," 2,316",NA,"MACADANGDANG, OSWALDO A.","INDEPENDENT",TRUE
"9","DEL ROSARIO, RODOLFO P.        DOLFO                                 LAKAS NUCD-UMDP         160,534   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","governor",""," 160,534","May 18,2001","DEL ROSARIO, RODOLFO P.","LAKAS NUCD-UMDP",TRUE
"10","SEBASTIAN, ROBERTO S.          BOBOT                                 REPORMA-LM               76,067","1/12","DAVAO (DAVAO DEL NORTE)","11","governor",""," 76,067",NA,"SEBASTIAN, ROBERTO S.","REPORMA-LM",TRUE
"11","SUAYBAGUIO, VICTORIO JR. R.    BABY                                  KAMPI                   158,337   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","vice governor",""," 158,337","May 18,2001","SUAYBAGUIO, VICTORIO JR. R.","",TRUE
"12","BOISER, VIRGILIO C.            VIR                                   REPORMA-LM               58,075","1/12","DAVAO (DAVAO DEL NORTE)","11","vice governor",""," 58,075",NA,"BOISER, VIRGILIO C.","REPORMA-LM",TRUE
"13","ISRAEL, ROGELIO E.             ROGER                                 LAKAS NUCD-UMDP          69,937   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 69,937","May 18,2001","ISRAEL, ROGELIO E.","LAKAS NUCD-UMDP",TRUE
"14","ZULUETA, ALAN D.               LAN                                   LAKAS NUCD-UMDP          56,877   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 56,877","May 18,2001","ZULUETA, ALAN D.","LAKAS NUCD-UMDP",TRUE
"15","AALA, SHIRLEY BELEN R.         SHIRL                                 REPORMA-LM               55,618   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 55,618","May 18,2001","AALA, SHIRLEY BELEN R.","REPORMA-LM",TRUE
"16","BERMUDEZ, MACARIO II A.        BONG                                  LAKAS NUCD-UMDP          53,526   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 53,526","May 18,2001","BERMUDEZ, MACARIO II A.","LAKAS NUCD-UMDP",TRUE
"17","LAGUNZAD, ANTONIO M.           TONY                                  KAMPI                    51,891   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 51,891","May 18,2001","LAGUNZAD, ANTONIO M.","KAMPI",TRUE
"18","DE VEYRA, ALFREDO D.           FRED                                  REPORMA-LM               45,844","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 45,844",NA,"DE VEYRA, ALFREDO D.","REPORMA-LM",TRUE
"19","RAPISTA, RODOLFO C.            RUDY                                  REPORMA-LM               44,883","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 44,883",NA,"RAPISTA, RODOLFO C.","REPORMA-LM",TRUE
"20","NUÑEZ, PROVIDENCIA P.          DIDI                                  LAKAS NUCD-UMDP          33,836","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","1ST DISTRICT"," 33,836",NA,"NUÑEZ, PROVIDENCIA P.","LAKAS NUCD-UMDP",TRUE
"21","ESTELA, MAXIMO M.              MAX                                   LAKAS NUCD-UMDP          64,937   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","2ND DISTRICT"," 64,937","May 18,2001","ESTELA, MAXIMO M.","LAKAS NUCD-UMDP",TRUE
"22","SILVOSA, JOSE SR. D.           JOE                                   LAKAS NUCD-UMDP          63,451   May 18,2001","1/12","DAVAO (DAVAO DEL NORTE)","11","board member","2ND DISTRICT"," 63,451","May 18,2001","SILVOSA, JOSE SR. D.","LAKAS NUCD-UMDP",TRUE
