"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ERMITA-BUHAIN, ELENITA MILAGROS R.     EILEEN ERMITA                        LAKAS NUCD-UMDP          86,205   May 18,2001","1/22","BATANGAS","04","congressman","1ST DISTRICT"," 86,205","May 18,2001","ERMITA-BUHAIN, ELENITA MILAGROS R.","LAKAS NUCD-UMDP",TRUE
"2","APACIBLE, ROSARIO M.                   CHARITO                              LDP                      65,926","1/22","BATANGAS","04","congressman","1ST DISTRICT"," 65,926",NA,"APACIBLE, ROSARIO M.","LDP",TRUE
"3","MENDOZA, VICTOR P.                     VIC                                  INDEPENDENT              1,230","1/22","BATANGAS","04","congressman","1ST DISTRICT"," 1,230",NA,"MENDOZA, VICTOR P.","INDEPENDENT",TRUE
"4","ILAO, ISIDRO C.                        ICI, ISI                             INDEPENDENT               248","1/22","BATANGAS","04","congressman","1ST DISTRICT"," 248",NA,"ILAO, ISIDRO C.","INDEPENDENT",TRUE
"5","PEREZ, FRANCISCO II S.                 FRANK                                LAKAS NUCD-UMDP          70,777   May 19,2001","1/22","BATANGAS","04","congressman","2ND DISTRICT"," 70,777","May 19,2001","PEREZ, FRANCISCO II S.","LAKAS NUCD-UMDP",TRUE
"6","MENDOZA, EDGAR L.                      ED                                   LDP                      64,815","1/22","BATANGAS","04","congressman","2ND DISTRICT"," 64,815",NA,"MENDOZA, EDGAR L.","LDP",TRUE
"7","SULIT, EDWIN P.                        EDWIN                                INDEPENDENT              19,155","1/22","BATANGAS","04","congressman","2ND DISTRICT"," 19,155",NA,"SULIT, EDWIN P.","INDEPENDENT",TRUE
"8","REYES, VICTORIA H.                     VICKY                                REPORMA                  72,367   May 18,2001","1/22","BATANGAS","04","congressman","3RD DISTRICT"," 72,367","May 18,2001","REYES, VICTORIA H.","REPORMA",TRUE
"9","LAUREL, JOSE MACARIO L.                CARIO                                LAKAS NUCD-UMDP          65,753","1/22","BATANGAS","04","congressman","3RD DISTRICT"," 65,753",NA,"LAUREL, JOSE MACARIO L.","LAKAS NUCD-UMDP",TRUE
"10","MALOLES, OCTAVIO D.                    RICO                                 INDEPENDENT               407","1/22","BATANGAS","04","congressman","3RD DISTRICT"," 407",NA,"MALOLES, OCTAVIO D.","INDEPENDENT",TRUE
