"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ROMAN, ANTONINO P.           TONY                                INDEPENDENT              69,838   May 17,2001","1/12","BATAAN","03","congressman","1ST DISTRICT"," 69,838","May 17,2001","ROMAN, ANTONINO P.","INDEPENDENT",TRUE
"2","IZON, RODOLFO S.             ROD                                 LDP                      20,959","1/12","BATAAN","03","congressman","1ST DISTRICT"," 20,959",NA,"IZON, RODOLFO S.","LDP",TRUE
"3","GARCIA, ENRIQUE JR. T.       TET                                 LDP                      79,418   May 19,2001","1/12","BATAAN","03","congressman","2ND DISTRICT"," 79,418","May 19,2001","GARCIA, ENRIQUE JR. T.","LDP",TRUE
"4","ROMAN, LEONARDO B.           DING                                NPC                     175,935   May 19,2001","1/12","BATAAN","03","governor",""," 175,935","May 19,2001","ROMAN, LEONARDO B.","NPC",TRUE
"5","ROQUE, ROGELIO G.            BOY                                 NPC                     162,987   May 19,2001","1/12","BATAAN","03","vice governor",""," 162,987","May 19,2001","ROQUE, ROGELIO G.","NPC",TRUE
"6","PAYUMO, LUCILA P.            LUCY                                NPC                      50,725   May 17,2001","1/12","BATAAN","03","board member","1ST DISTRICT"," 50,725","May 17,2001","PAYUMO, LUCILA P.","NPC",TRUE
"7","ENRILE, EDWIN Y.             EDWIN                               NPC                      50,348   May 17,2001","1/12","BATAAN","03","board member","1ST DISTRICT"," 50,348","May 17,2001","ENRILE, EDWIN Y.","NPC",TRUE
"8","MULI, REYNALDO R.            TIKBOY                              NPC                      46,893   May 17,2001","1/12","BATAAN","03","board member","1ST DISTRICT"," 46,893","May 17,2001","MULI, REYNALDO R.","NPC",TRUE
"9","APOSTOL, WILFREDO C.         WILLY                               NPC                      46,278   May 17,2001","1/12","BATAAN","03","board member","1ST DISTRICT"," 46,278","May 17,2001","APOSTOL, WILFREDO C.","NPC",TRUE
"10","SALANDANAN, RODOLFO S.       ROD                                 NPC                      42,882   May 17,2001","1/12","BATAAN","03","board member","1ST DISTRICT"," 42,882","May 17,2001","SALANDANAN, RODOLFO S.","NPC",TRUE
"11","REYES, LOLITA M.             LITA REYES                          LAKAS NUCD-UMDP          38,508","1/12","BATAAN","03","board member","1ST DISTRICT"," 38,508",NA,"REYES, LOLITA M.","LAKAS NUCD-UMDP",TRUE
"12","VITUG, LUIS C.               LOUIE, WET                          LAKAS NUCD-UMDP          22,839","1/12","BATAAN","03","board member","1ST DISTRICT"," 22,839",NA,"VITUG, LUIS C.","LAKAS NUCD-UMDP",TRUE
"13","SIONGCO, RODOLFO M.          RODING                              LAKAS NUCD-UMDP          22,768","1/12","BATAAN","03","board member","1ST DISTRICT"," 22,768",NA,"SIONGCO, RODOLFO M.","LAKAS NUCD-UMDP",TRUE
"14","MEDINA, CELSO M.             CEL                                 LAKAS NUCD-UMDP          19,201","1/12","BATAAN","03","board member","1ST DISTRICT"," 19,201",NA,"MEDINA, CELSO M.","LAKAS NUCD-UMDP",TRUE
"15","ESCONDE, ENRICO S.           ENYEK                               LAKAS NUCD-UMDP          12,053","1/12","BATAAN","03","board member","1ST DISTRICT"," 12,053",NA,"ESCONDE, ENRICO S.","LAKAS NUCD-UMDP",TRUE
"16","CALIMBAS, EDGARDO P.         DOC, ED                             NPC                      66,038   May 19,2001","1/12","BATAAN","03","board member","2ND DISTRICT"," 66,038","May 19,2001","CALIMBAS, EDGARDO P.","NPC",TRUE
"17","AUSTRIA, FERNANDO C.         PED                                 NPC                      62,627   May 19,2001","1/12","BATAAN","03","board member","2ND DISTRICT"," 62,627","May 19,2001","AUSTRIA, FERNANDO C.","NPC",TRUE
"18","BANZON, MELANIO JR. S.       BOYING                              NPC                      62,521   May 19,2001","1/12","BATAAN","03","board member","2ND DISTRICT"," 62,521","May 19,2001","BANZON, MELANIO JR. S.","NPC",TRUE
"19","MANALAYSAY, DANTE R.         DANTE                               NPC                      48,401   May 19,2001","1/12","BATAAN","03","board member","2ND DISTRICT"," 48,401","May 19,2001","MANALAYSAY, DANTE R.","NPC",TRUE
"20","MARIANO, SERGIO SR. J.       SM                                  NPC                      48,283   May 19,2001","1/12","BATAAN","03","board member","2ND DISTRICT"," 48,283","May 19,2001","MARIANO, SERGIO SR. J.","NPC",TRUE
"21","VILLAFANIA, NELSIE S.        NELSIE                              LAKAS NUCD-UMDP          45,823","1/12","BATAAN","03","board member","2ND DISTRICT"," 45,823",NA,"VILLAFANIA, NELSIE S.","LAKAS NUCD-UMDP",TRUE
"22","PIZARRO, TEODORO JR. S.      TEDDY                               LAKAS NUCD-UMDP          39,191","1/12","BATAAN","03","board member","2ND DISTRICT"," 39,191",NA,"PIZARRO, TEODORO JR. S.","LAKAS NUCD-UMDP",TRUE
"23","CALMA, ERNESTO R.      BRO CALMA                          INDEPENDENT              6,725","2/12","BATAAN","03","board member","2ND DISTRICT"," 6,725",NA,"CALMA, ERNESTO R.","INDEPENDENT",TRUE
"24","ARTUZ, RENE T.         RENE                               INDEPENDENT              1,342","2/12","BATAAN","03","board member","2ND DISTRICT"," 1,342",NA,"ARTUZ, RENE T.","INDEPENDENT",TRUE
"25","SY-ALVARADO, WILHELMINO M.    WILLY                               LAKAS NUCD-UMDP         114,629   May 21,2001","3/12","BULACAN","03","congressman","1ST DISTRICT"," 114,629","May 21,2001","SY-ALVARADO, WILHELMINO M.","LAKAS NUCD-UMDP",FALSE
"26","OPLE, RAUL V.                 RAUL                                LDP                      76,833","3/12","BULACAN","03","congressman","1ST DISTRICT"," 76,833",NA,"OPLE, RAUL V.","LDP",TRUE
"27","ROQUE, ROSENDO R.             SENDONG                             PMP                      3,375","3/12","BULACAN","03","congressman","1ST DISTRICT"," 3,375",NA,"ROQUE, ROSENDO R.","PMP",TRUE
"28","VILLARAMA, WILFRIDO B.        WILLIE                              AKSYON                   88,747   May 19,2001","3/12","BULACAN","03","congressman","2ND DISTRICT"," 88,747","May 19,2001","VILLARAMA, WILFRIDO B.","AKSYON",TRUE
"29","PANCHO, GAVINI C.             APOL                                REPORMA-LM               55,867","3/12","BULACAN","03","congressman","2ND DISTRICT"," 55,867",NA,"PANCHO, GAVINI C.","REPORMA-LM",TRUE
"30","POSADAS, RAMON R.             ATTY. MONET                         LAKAS NUCD-UMDP          21,723","3/12","BULACAN","03","congressman","2ND DISTRICT"," 21,723",NA,"POSADAS, RAMON R.","LAKAS NUCD-UMDP",TRUE
"31","SALVADOR, CRISANTA R.         CHRISTY                             INDEPENDENT              1,862","3/12","BULACAN","03","congressman","2ND DISTRICT"," 1,862",NA,"SALVADOR, CRISANTA R.","INDEPENDENT",TRUE
"32","SILVERIO, LORNA C.            TITA LORNA                          LAKAS NUCD-UMDP          62,228   May 19,2001","3/12","BULACAN","03","congressman","3RD DISTRICT"," 62,228","May 19,2001","SILVERIO, LORNA C.","LAKAS NUCD-UMDP",TRUE
"33","CABOCHAN, JOSE D.             BOJI                                LAKAS NUCD-UMDP          39,641","3/12","BULACAN","03","congressman","3RD DISTRICT"," 39,641",NA,"CABOCHAN, JOSE D.","LAKAS NUCD-UMDP",TRUE
