"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","SALAPUDDIN, ABDULGANI A.        GERRY                                 LAKAS NUCD-UMDP          62,974   May 26,2001","1/8","BASILAN","09","congressman",NA," 62,974","May 26,2001","SALAPUDDIN, ABDULGANI A.","LAKAS NUCD-UMDP",TRUE
"2","AKBAR, RAJAM M.                 JAM                                   LP                       47,912","1/8","BASILAN","09","congressman",NA," 47,912",NA,"AKBAR, RAJAM M.","LP",TRUE
"3","MUSA, ADAM A.                   MUS                                   LAKAS NUCD-UMDP          5,511","1/8","BASILAN","09","congressman",NA," 5,511",NA,"MUSA, ADAM A.","LAKAS NUCD-UMDP",TRUE
"4","SALAPUDDIN, RASMIA A.           NURUL                                 INDEPENDENT                35","1/8","BASILAN","09","congressman",NA," 35",NA,"SALAPUDDIN, RASMIA A.","INDEPENDENT",TRUE
"5","AKBAR, WAHAB M.                 TUAN                                  PMP                      60,790   May 31,2001","1/8","BASILAN","09","governor",""," 60,790","May 31,2001","AKBAR, WAHAB M.","PMP",TRUE
"6","SAKKALAHUL, AHMAD AL-RASHED M.  AL, HADJIRASHID                       LDP                      39,510","1/8","BASILAN","09","governor",""," 39,510",NA,"SAKKALAHUL, AHMAD AL-RASHED M.  AL, HADJIRASHID","",TRUE
"7","MUARIP, CANDU I.                CANDU                                 LAKAS NUCD-UMDP          22,606","1/8","BASILAN","09","governor",""," 22,606",NA,"MUARIP, CANDU I.","LAKAS NUCD-UMDP",TRUE
"8","LAPIÑA, ALDANIE F.              TAWWANG, DANIE                        KAMPI                     847","1/8","BASILAN","09","governor",""," 847",NA,"LAPIÑA, ALDANIE F.","KAMPI",TRUE
"9","MUJAMON, TANJINUL A.            BILAL                                 PRP                       191","1/8","BASILAN","09","governor",""," 191",NA,"MUJAMON, TANJINUL A.","PRP",TRUE
"10","AMPAO, LUKMAN A.                LUKMAN                                INDEPENDENT              22,502   May 31,2001","1/8","BASILAN","09","vice governor",""," 22,502","May 31,2001","AMPAO, LUKMAN A.","INDEPENDENT",TRUE
"11","ARON, OMAR M.                   OMS                                   LDP                      21,548","1/8","BASILAN","09","vice governor",""," 21,548",NA,"ARON, OMAR M.","LDP",TRUE
"12","BALAMO, BONNIE C.               BON, ABDULAZIZ, AZIZ                  PMP                      20,739","1/8","BASILAN","09","vice governor",""," 20,739",NA,"BALAMO, BONNIE C.","PMP",TRUE
"13","TAN, NILO B.                    NIL                                   INDEPENDENT              17,318","1/8","BASILAN","09","vice governor",""," 17,318",NA,"TAN, NILO B.","INDEPENDENT",TRUE
"14","JAKILAN, MUSLIMIN A.            JANN                                  PDSP                     15,042","1/8","BASILAN","09","vice governor",""," 15,042",NA,"JAKILAN, MUSLIMIN A.","PDSP",TRUE
"15","ASALUL, ANDRIEL B.              ANDY, INDAL                           LP                       12,104","1/8","BASILAN","09","vice governor",""," 12,104",NA,"ASALUL, ANDRIEL B.","LP",TRUE
"16","INSUNG, NATHAN B.               TANA                                  LAKAS NUCD-UMDP          10,082","1/8","BASILAN","09","vice governor",""," 10,082",NA,"INSUNG, NATHAN B.","LAKAS NUCD-UMDP",TRUE
"17","FERNANDEZ, OTOH I.              EDDIE                                 PMP                      23,779   May 31,2001","1/8","BASILAN","09","board member","1ST DISTRICT"," 23,779","May 31,2001","FERNANDEZ, OTOH I.","PMP",TRUE
"18","YU, SUSAN A.                    SUSAN                                 PMP                      16,126   May 31,2001","1/8","BASILAN","09","board member","1ST DISTRICT"," 16,126","May 31,2001","YU, SUSAN A.","PMP",TRUE
"19","ANTONIO, PERFECTO JR. C.        TOTO                                  PMP                      11,597   May 31,2001","1/8","BASILAN","09","board member","1ST DISTRICT"," 11,597","May 31,2001","ANTONIO, PERFECTO JR. C.","PMP",TRUE
"20","AJIBUN, JAINAL J.               TIGER                                 LAKAS NUCD-UMDP          10,785   May 31,2001","1/8","BASILAN","09","board member","1ST DISTRICT"," 10,785","May 31,2001","AJIBUN, JAINAL J.","LAKAS NUCD-UMDP",TRUE
"21","AMIL, OJONG H.                  JOY                                   LP                       9,697","1/8","BASILAN","09","board member","1ST DISTRICT"," 9,697",NA,"AMIL, OJONG H.","LP",TRUE
"22","DELA PEÑA, GREGORIO III V.      G-3                                   LAKAS NUCD-UMDP          9,250","1/8","BASILAN","09","board member","1ST DISTRICT"," 9,250",NA,"DELA PEÑA, GREGORIO III V.","LAKAS NUCD-UMDP",TRUE
"23","SALIP, USMAN M.                 SALIP                                 LAKAS NUCD-UMDP          9,092","1/8","BASILAN","09","board member","1ST DISTRICT"," 9,092",NA,"SALIP, USMAN M.","LAKAS NUCD-UMDP",TRUE
"24","CAMLIAN, KERWIN M.              KC, KEN, WIN                          LDP                      8,770","1/8","BASILAN","09","board member","1ST DISTRICT"," 8,770",NA,"CAMLIAN, KERWIN M.","LDP",TRUE
"25","MOHAMMAD, MARGANI U.           USTADZ MARGANI                      LDP                      7,609","2/8","BASILAN","09","board member","1ST DISTRICT"," 7,609",NA,"MOHAMMAD, MARGANI U.","LDP",TRUE
"26","BARANDINO, TEODORICO S.        TEDDY                               LDP                      6,561","2/8","BASILAN","09","board member","1ST DISTRICT"," 6,561",NA,"BARANDINO, TEODORICO S.","LDP",TRUE
"27","VIRTUCIO, ABDON JR. S.         JUN                                 INDEPENDENT              2,303","2/8","BASILAN","09","board member","1ST DISTRICT"," 2,303",NA,"VIRTUCIO, ABDON JR. S.","INDEPENDENT",TRUE
"28","SENIBALO, ALBERTO P.           BERT                                LDP                      1,873","2/8","BASILAN","09","board member","1ST DISTRICT"," 1,873",NA,"SENIBALO, ALBERTO P.","LDP",TRUE
"29","CUSTUDIO, CRESENCIO D.         MASTER                              INDEPENDENT              1,389","2/8","BASILAN","09","board member","1ST DISTRICT"," 1,389",NA,"CUSTUDIO, CRESENCIO D.","INDEPENDENT",TRUE
"30","ONDOS, SAHDIN N.               ONDOS                               INDEPENDENT               967","2/8","BASILAN","09","board member","1ST DISTRICT"," 967",NA,"ONDOS, SAHDIN N.","INDEPENDENT",TRUE
"31","SALAIN, NASSER A.              NASH                                LDP                      27,830   May 31,2001","2/8","BASILAN","09","board member","2ND DISTRICT"," 27,830","May 31,2001","SALAIN, NASSER A.","LDP",TRUE
"32","BAUL, NOEL D.                  HADJA RASHEED                       LAKAS NUCD-UMDP          23,812   May 31,2001","2/8","BASILAN","09","board member","2ND DISTRICT"," 23,812","May 31,2001","BAUL, NOEL D.","LAKAS NUCD-UMDP",TRUE
"33","MUJAHID, ABDULMUHMIN A.        USTADZ MUJAHID                      PDSP                     21,276   May 31,2001","2/8","BASILAN","09","board member","2ND DISTRICT"," 21,276","May 31,2001","MUJAHID, ABDULMUHMIN A.","PDSP",TRUE
"34","SAID-AHMAD, JUBAIRA S.         BRING                               PMP                      16,852   May 31,2001","2/8","BASILAN","09","board member","2ND DISTRICT"," 16,852","May 31,2001","SAID-AHMAD, JUBAIRA S.","PMP",TRUE
"35","SALAO, AHMAD A.                PAN SALAO                           LP                       14,989","2/8","BASILAN","09","board member","2ND DISTRICT"," 14,989",NA,"SALAO, AHMAD A.","LP",TRUE
"36","IKLAMAN, EDWIN J.              SAMAD                               PMP                      14,616","2/8","BASILAN","09","board member","2ND DISTRICT"," 14,616",NA,"IKLAMAN, EDWIN J.","PMP",TRUE
"37","PAHALAWAN, DAMAYIN A.          DAM                                 LDP                      14,313","2/8","BASILAN","09","board member","2ND DISTRICT"," 14,313",NA,"PAHALAWAN, DAMAYIN A.","LDP",TRUE
"38","MANKABONG, JIMMY A.                                                LAKAS NUCD-UMDP          14,288","2/8","BASILAN","09","board member","2ND DISTRICT"," 14,288",NA,"MANKABONG, JIMMY A.","",TRUE
"39","ANGELES, ALTON T.              AGONG ALTON                         LP                       14,206","2/8","BASILAN","09","board member","2ND DISTRICT"," 14,206",NA,"ANGELES, ALTON T.","LP",TRUE
"40","HARON, SHACOR W.               SHAD'Z                              NPC                      13,500","2/8","BASILAN","09","board member","2ND DISTRICT"," 13,500",NA,"HARON, SHACOR W.","NPC",TRUE
"41","LOZANO, JAIME I.               JIM                                 INDEPENDENT              12,576","2/8","BASILAN","09","board member","2ND DISTRICT"," 12,576",NA,"LOZANO, JAIME I.","INDEPENDENT",TRUE
"42","PAMARAN, OSCAR F.              OCA                                 PMP                      11,006","2/8","BASILAN","09","board member","2ND DISTRICT"," 11,006",NA,"PAMARAN, OSCAR F.","PMP",TRUE
