"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","DUMARPA, FAYSAH M.               FAI                                 PDP-LABAN                31,866   June 26,2001","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 31,866","June 26,2001","DUMARPA, FAYSAH M.","PDP-LABAN",TRUE
"2","PANGANDAMAN, LININDING P.        LINDY                               INDEPENDENT              24,288","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 24,288",NA,"PANGANDAMAN, LININDING P.","INDEPENDENT",TRUE
"3","PUNDAODAYA, MAKIL U.             MIKE                                NPC                      19,914","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 19,914",NA,"PUNDAODAYA, MAKIL U.","NPC",TRUE
"4","SULTAN FIRDAUSI, ISMAIL YAHYA A. SULTAN SA RANAO                     OMPIA                    12,202","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 12,202",NA,"SULTAN FIRDAUSI, ISMAIL YAHYA A. SULTAN SA RANAO","",TRUE
"5","ALONTO, ABDUL KHANR D.           ABDUL                               LDP                      10,129","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 10,129",NA,"ALONTO, ABDUL KHANR D.","LDP",TRUE
"6","GUTOC, TOMANINA A.               MANI                                LAKAS NUCD-UMDP          6,352","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 6,352",NA,"GUTOC, TOMANINA A.","LAKAS NUCD-UMDP",TRUE
"7","UMPAR, OMAR B.                   PILANDOK 31                         LAKAS NUCD-UMDP          5,787","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 31",NA,"UMPAR, OMAR B.","LAKAS NUCD-UMDP",TRUE
"8","ABINAL, NASSER P.                NASS                                INDEPENDENT              3,700","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 3,700",NA,"ABINAL, NASSER P.","INDEPENDENT",TRUE
"9","MACAUMBOS, JUBAIR L.             BARRY                               PDSP                       38","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 38",NA,"MACAUMBOS, JUBAIR L.","PDSP",TRUE
"10","NOOR, ALIODEN JR. P.             JUN                                 INDEPENDENT                15","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 15",NA,"NOOR, ALIODEN JR. P.","INDEPENDENT",TRUE
"11","ALI, ZAINAB U.                   PATSY                               PDSP                       5","1/10","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 5",NA,"ALI, ZAINAB U.",NA,NA
"12","MACARAMBON, BENASING JR. O.      JUN                                 NPC                      27,372   June 27,2001","1/10","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 27,372","June 27,2001","MACARAMBON, BENASING JR. O.","NPC",TRUE
"13","ADIONG, MAMINTAL M.              MIKE                                PMP                      59,485    July 9,2001","1/10","LANAO DEL SUR","ARMM","governor",""," 59,485","July 9,2001","ADIONG, MAMINTAL M.","PMP",TRUE
"14","SARANGANI, AMERODDIN M.          ABU MOHAMMAD                        LAKAS NUCD-UMDP          52,207","1/10","LANAO DEL SUR","ARMM","governor",""," 52,207",NA,"SARANGANI, AMERODDIN M.","LAKAS NUCD-UMDP",TRUE
"15","PANGARUNGAN, SAIDAMEN B.         SAIDI                               PDP-LABAN                52,112","1/10","LANAO DEL SUR","ARMM","governor",""," 52,112",NA,"PANGARUNGAN, SAIDAMEN B.","PDP-LABAN",TRUE
"16","ABEDIN, MOFTI-MOKHTAR T.         ALIM                                OMPIA                    37,026","1/10","LANAO DEL SUR","ARMM","governor",""," 37,026",NA,"ABEDIN, MOFTI-MOKHTAR T.","OMPIA",TRUE
"17","BAULO, ABUBAKHAR M.              ABU                                 REPORMA-LM               14,738","1/10","LANAO DEL SUR","ARMM","governor",""," 14,738",NA,"BAULO, ABUBAKHAR M.","REPORMA-LM",TRUE
"18","LUCMAN, MUHAMMAD ALI BASIR M.    DOC                                 KAMPI                    8,843","1/10","LANAO DEL SUR","ARMM","governor",""," 8,843",NA,"LUCMAN, MUHAMMAD ALI BASIR M.","",TRUE
"19","EDRIS, BASHER C.                 ALIM                                                         2,150","1/10","LANAO DEL SUR","ARMM","governor",""," 2,150",NA,"EDRIS, BASHER C.","",TRUE
"20","MIMBALAWAG, MANSAWI D.           DARIDAY                             LAKAS NUCD-UMDP           526","1/10","LANAO DEL SUR","ARMM","governor",""," 526",NA,"MIMBALAWAG, MANSAWI D.","LAKAS NUCD-UMDP",TRUE
"21","DIMAPORO, ABDUL B.               BOBBY                               KBL                       237","1/10","LANAO DEL SUR","ARMM","governor",""," 237",NA,"DIMAPORO, ABDUL B.","KBL",TRUE
"22","SHEIK RI-AMAN, USMAN I.          USMAN                               INDEPENDENT                82","1/10","LANAO DEL SUR","ARMM","governor",""," 82",NA,"SHEIK RI-AMAN, USMAN I.","INDEPENDENT",TRUE
"23","DECAMPONG, MANDANGAN C.          ABDULMANNAN                         MRP                        39","1/10","LANAO DEL SUR","ARMM","governor",""," 39",NA,"DECAMPONG, MANDANGAN C.","MRP",TRUE
"24","DIANALAN, JIAMIL M.              JIMMY                               KAMPI                      23","1/10","LANAO DEL SUR","ARMM","governor",""," 23",NA,"DIANALAN, JIAMIL M.","KAMPI",TRUE
"25","TOMAWIS, HADJI YAHYA JERRY M.    JERRY                               LDP                        12","1/10","LANAO DEL SUR","ARMM","governor",""," 12",NA,"TOMAWIS, HADJI YAHYA JERRY M.","",TRUE
"26","RAMOS, DATU DIMAPUNO A.                                              LDP                      38,597   June 29,2001","1/10","LANAO DEL SUR","ARMM","vice governor",""," 38,597","June 29,2001","RAMOS, DATU DIMAPUNO A.","",TRUE
"27","LUCMAN, NORODIN A.            NORWAY                               LAKAS NUCD-UMDP          31,209","2/10","LANAO DEL SUR","ARMM","vice governor",""," 31,209",NA,"LUCMAN, NORODIN A.","LAKAS NUCD-UMDP",TRUE
"28","LAGUINDAB, ABDULMALIK P.      ABU AHMAD                            LAKAS NUCD-UMDP          28,603","2/10","LANAO DEL SUR","ARMM","vice governor",""," 28,603",NA,"LAGUINDAB, ABDULMALIK P.","LAKAS NUCD-UMDP",TRUE
"29","DIMAPORO, DANNY-TOLAWIDAN B.  DANNY                                OMPIA                    24,005","2/10","LANAO DEL SUR","ARMM","vice governor",""," 24,005",NA,"DIMAPORO, DANNY-TOLAWIDAN B.  DANNY","",TRUE
"30","ANSANO, ABDULMAJEED D.        MAJEED                               OMPIA                    18,766","2/10","LANAO DEL SUR","ARMM","vice governor",""," 18,766",NA,"ANSANO, ABDULMAJEED D.","OMPIA",TRUE
"31","CAMID, ISMAEL B.              MIKE                                 PDP-LABAN                18,122","2/10","LANAO DEL SUR","ARMM","vice governor",""," 18,122",NA,"CAMID, ISMAEL B.","PDP-LABAN",TRUE
"32","AMEROL, ABDULWAHAB M.         PANDAPAT                             INDEPENDENT              13,387","2/10","LANAO DEL SUR","ARMM","vice governor",""," 13,387",NA,"AMEROL, ABDULWAHAB M.","INDEPENDENT",TRUE
"33","ABDUSALAM, ELIAS B.           ELY                                  OMPIA                    8,723","2/10","LANAO DEL SUR","ARMM","vice governor",""," 8,723",NA,"ABDUSALAM, ELIAS B.","OMPIA",TRUE
"34","ALAWI, LUCMAN T.              ALIM ALAWI                           INDEPENDENT              5,341","2/10","LANAO DEL SUR","ARMM","vice governor",""," 5,341",NA,"ALAWI, LUCMAN T.","INDEPENDENT",TRUE
"35","SARUANG, ABDULJALIL A.        KOKO                                 PDSP                      161","2/10","LANAO DEL SUR","ARMM","vice governor",""," 161",NA,"SARUANG, ABDULJALIL A.","PDSP",TRUE
"36","CALI, FAROUK M.               ALEEM PAROUK                         LDP                        78","2/10","LANAO DEL SUR","ARMM","vice governor",""," 78",NA,"CALI, FAROUK M.","LDP",TRUE
"37","BARRA, JAMAEL C.              JAM                                  INDEPENDENT                60","2/10","LANAO DEL SUR","ARMM","vice governor",""," 60",NA,"BARRA, JAMAEL C.","INDEPENDENT",TRUE
"38","ABOFARHANOMAR, HUSSEIN M.     FARHAN                               UMMAH PARTY              36,045    July 9,2001","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 36,045","July 9,2001","ABOFARHANOMAR, HUSSEIN M.","UMMAH PARTY",TRUE
"39","KUNUG, MADUM M.               AMIN                                 PDP-LABAN                28,754    July 9,2001","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 28,754","July 9,2001","KUNUG, MADUM M.","PDP-LABAN",TRUE
"40","AMATE, ALIM-SAAD I.           SAAD                                 OMPIA                    25,900    July 9,2001","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 25,900","July 9,2001","AMATE, ALIM-SAAD I.","OMPIA",TRUE
"41","ABDULHAMID, IMRAN L.          ALEEM                                OMPIA                    24,485 November 21,2001","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 24,485","November 21,2001","ABDULHAMID, IMRAN L.","OMPIA",TRUE
"42","MACASIPOT, SOMIRADO M.        SERAD                                OMPIA                    24,359","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 24,359",NA,"MACASIPOT, SOMIRADO M.","OMPIA",TRUE
"43","ABUBACAR, ALEEM ABDULLAH M.   ABDULLAH                             OMPIA                    22,449","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 22,449",NA,"ABUBACAR, ALEEM ABDULLAH M.   ABDULLAH","",TRUE
"44","ABOJUNADAH, ALEXANDER M.      ALEX                                 UMMAH PARTY              21,065","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 21,065",NA,"ABOJUNADAH, ALEXANDER M.","UMMAH PARTY",TRUE
"45","TOMAWIS, PANGO A.             HARON                                PMP                      20,681","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 20,681",NA,"TOMAWIS, PANGO A.","PMP",TRUE
"46","ALI, SIMBANATAO M.            AZIS                                 PDP-LABAN                19,388","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 19,388",NA,"ALI, SIMBANATAO M.","PDP-LABAN",TRUE
"47","BUBONG, MINOMA S.             H. ABDULMALIK                        LAKAS NUCD-UMDP          19,155","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 19,155",NA,"BUBONG, MINOMA S.","LAKAS NUCD-UMDP",TRUE
"48","DATIMBANG, BOBBY M.           BADIS                                PDP-LABAN                16,669","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 16,669",NA,"DATIMBANG, BOBBY M.","PDP-LABAN",TRUE
"49","NOOR, HADJINOR-DIPUNUDUN S.   HADJINOR                             PMP                      16,205","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 16,205",NA,"NOOR, HADJINOR-DIPUNUDUN S.   HADJINOR","",TRUE
"50","BALINDONG, ABDULLAH A.        ABU RIFAEY                           LAKAS NUCD-UMDP          15,960","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 15,960",NA,"BALINDONG, ABDULLAH A.","LAKAS NUCD-UMDP",TRUE
"51","MACABANDO, CAIROLLAN C.       CAYE                                 INDEPENDENT              15,916","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 15,916",NA,"MACABANDO, CAIROLLAN C.","INDEPENDENT",TRUE
"52","COMADUG, MALAILAH D.          MALAY                                PDP-LABAN                13,792","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 13,792",NA,"COMADUG, MALAILAH D.","PDP-LABAN",TRUE
"53","GANDA, NASSER M.              NASH                                 PMP                      13,560","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 13,560",NA,"GANDA, NASSER M.","PMP",TRUE
"54","ALI, OMAR D.                  SHIEK MANAROS                        PDP-LABAN                12,859","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 12,859",NA,"ALI, OMAR D.","PDP-LABAN",TRUE
"55","PANGCOGA, HARON D.            HARON                                LDP                      8,634","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 8,634",NA,"PANGCOGA, HARON D.","LDP",TRUE
"56","UMPAR, OLOWAN B.              HADJI NOOR                           INDEPENDENT              8,096","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 8,096",NA,"UMPAR, OLOWAN B.","INDEPENDENT",TRUE
"57","LOMINOG, PUNDAROLAH P.        DANTE                                PDP-LABAN                5,987","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 5,987",NA,"LOMINOG, PUNDAROLAH P.","PDP-LABAN",TRUE
"58","HASSAN, SOLAIMAN M.           SOLER, MALAINGCAN                    PMP                      4,339","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 4,339",NA,"HASSAN, SOLAIMAN M.","PMP",TRUE
"59","SULTAN, BAGUAN D.             BAGOAN                               INDEPENDENT              2,838","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 2,838",NA,"SULTAN, BAGUAN D.","INDEPENDENT",TRUE
"60","MIPANGA, BASHER A.            BASCO                                PDP-LABAN                1,729","2/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 1,729",NA,"MIPANGA, BASHER A.","PDP-LABAN",TRUE
"61","TOMAMBILING, MOH-D JALIL M.    MOCKS                                INDEPENDENT              1,425","3/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 1,425",NA,"TOMAMBILING, MOH-D JALIL M.","",TRUE
"62","GAMOR, AMINODING M.            ARIEL                                INDEPENDENT              1,012","3/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 1,012",NA,"GAMOR, AMINODING M.","INDEPENDENT",TRUE
"63","DOMATO, BUBONG A.              HADJI NUR/BOBBY                      PDP-LABAN                 701","3/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 701",NA,"DOMATO, BUBONG A.","PDP-LABAN",TRUE
"64","CAPIA, ACSARA R.                                                    LDP                       400","3/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 400",NA,"CAPIA, ACSARA R.","",TRUE
"65","BAYABAO, DIMALAWANG M.         HADJI AZIS                           LDP                       378","3/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 378",NA,"BAYABAO, DIMALAWANG M.","LDP",TRUE
"66","MAMPAO, RASUL D.               RAS-MANGOTARA                        INDEPENDENT               354","3/10","LANAO DEL SUR","ARMM","board member","1ST DISTRICT"," 354",NA,"MAMPAO, RASUL D.","INDEPENDENT",TRUE
