"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ABAD, FLORENCIO B.             BUTCH                           LP                       4,835    May 16,2001","1/9","BATANES","02","congressman",NA," 4,835","May 16,2001","ABAD, FLORENCIO B.","LP",TRUE
"2","VADAN, PRICILLA M.             PRECY                           LAKAS NUCD-UMDP          1,669","1/9","BATANES","02","congressman",NA," 1,669",NA,"VADAN, PRICILLA M.","LAKAS NUCD-UMDP",TRUE
"3","GATO, VICENTE S.               VIC                             LP                       3,628    May 16,2001","1/9","BATANES","02","governor",""," 3,628","May 16,2001","GATO, VICENTE S.","LP",TRUE
"4","CASTILLEJOS, TELESFORO F.                                      LAKAS NUCD-UMDP          3,445","1/9","BATANES","02","governor",""," 3,445",NA,"CASTILLEJOS, TELESFORO F.","",TRUE
"5","CASTILLEJOS, CONSTANTE A.      DANTE                           LP                       3,966    May 16,2001","1/9","BATANES","02","vice governor",""," 3,966","May 16,2001","CASTILLEJOS, CONSTANTE A.","LP",TRUE
"6","ESTOREL, CECILIO -             CELIO                           LAKAS NUCD-UMDP          2,813","1/9","BATANES","02","vice governor",""," 2,813",NA,"ESTOREL, CECILIO -","LAKAS NUCD-UMDP",TRUE
"7","LIZARDO, EFREN C.              EFREN                           LAKAS NUCD-UMDP          1,964    May 16,2001","1/9","BATANES","02","board member","1ST DISTRICT"," 1,964","May 16,2001","LIZARDO, EFREN C.","LAKAS NUCD-UMDP",TRUE
"8","FABI, AMADA E.                 MADING                          LP                       1,824    May 16,2001","1/9","BATANES","02","board member","1ST DISTRICT"," 1,824","May 16,2001","FABI, AMADA E.","LP",TRUE
"9","ARGONZA, ALEXANDER E.          ALEX                            LAKAS NUCD-UMDP          1,564    May 16,2001","1/9","BATANES","02","board member","1ST DISTRICT"," 1,564","May 16,2001","ARGONZA, ALEXANDER E.","LAKAS NUCD-UMDP",TRUE
"10","TABUT, VALERIO T.              LARING                          LAKAS NUCD-UMDP          1,162","1/9","BATANES","02","board member","1ST DISTRICT"," 1,162",NA,"TABUT, VALERIO T.","LAKAS NUCD-UMDP",TRUE
"11","ABELA, SERGIO JR. A.           GAJI                            LP                       1,149","1/9","BATANES","02","board member","1ST DISTRICT"," 1,149",NA,"ABELA, SERGIO JR. A.","LP",TRUE
"12","ABERILLA, RICARDO A.           ERIC                            LP                       1,062","1/9","BATANES","02","board member","1ST DISTRICT"," 1,062",NA,"ABERILLA, RICARDO A.","LP",TRUE
"13","ESTAMO, TOMAS JR. R.           TOM                             LP                        865","1/9","BATANES","02","board member","1ST DISTRICT"," 865",NA,"ESTAMO, TOMAS JR. R.","LP",TRUE
"14","FAJELGA, FELIPE B.             EPING                           LP                        526","1/9","BATANES","02","board member","1ST DISTRICT"," 526",NA,"FAJELGA, FELIPE B.","LP",TRUE
"15","AGUTO, RONALD A.               RONNIE                          LP                       2,221    May 16,2001","1/9","BATANES","02","board member","2ND DISTRICT"," 2,221","May 16,2001","AGUTO, RONALD A.","LP",TRUE
"16","IBAÑES, CHARLES I C.           WAN                             LP                       2,073    May 16,2001","1/9","BATANES","02","board member","2ND DISTRICT"," 2,073","May 16,2001","IBAÑES, CHARLES I C.","LP",TRUE
"17","ABAS, JULIET F.                JULIET                          LAKAS NUCD-UMDP          1,944    May 16,2001","1/9","BATANES","02","board member","2ND DISTRICT"," 1,944","May 16,2001","ABAS, JULIET F.","LAKAS NUCD-UMDP",TRUE
"18","BALBAO, VICTORIO C.            TORIO                           LP                       1,713","1/9","BATANES","02","board member","2ND DISTRICT"," 1,713",NA,"BALBAO, VICTORIO C.","LP",TRUE
"19","PONCE ENRILE, JUAN JR. C.      JACKIE                              INDEPENDENT              52,823   May 18,2001","2/9","CAGAYAN","02","congressman","1ST DISTRICT"," 52,823","May 18,2001","PONCE ENRILE, JUAN JR. C.","INDEPENDENT",TRUE
"20","PADILLA, VICTOR I.             BING                                LAKAS NUCD-UMDP          32,894","2/9","CAGAYAN","02","congressman","1ST DISTRICT"," 32,894",NA,"PADILLA, VICTOR I.","LAKAS NUCD-UMDP",TRUE
"21","AGUDO, CRISCELA D.             SISTER AGUDO                        INDEPENDENT               158","2/9","CAGAYAN","02","congressman","1ST DISTRICT"," 158",NA,"AGUDO, CRISCELA D.","INDEPENDENT",TRUE
"22","LAYUS, CELIA T.                CEL                                 NPC                      23,064   May 18,2001","2/9","CAGAYAN","02","congressman","2ND DISTRICT"," 23,064","May 18,2001","LAYUS, CELIA T.","NPC",TRUE
"23","PULIDO, ALEJANDRO A.           ANDOY                               LAKAS NUCD-UMDP          22,371","2/9","CAGAYAN","02","congressman","2ND DISTRICT"," 22,371",NA,"PULIDO, ALEJANDRO A.","LAKAS NUCD-UMDP",TRUE
"24","VARGAS, MELVIN P.              MELVIN                              PMP                      19,974","2/9","CAGAYAN","02","congressman","2ND DISTRICT"," 19,974",NA,"VARGAS, MELVIN P.","PMP",TRUE
"25","BUGARING, REXIE EFREN A.       REX                                 REPORMA-LM               2,354","2/9","CAGAYAN","02","congressman","2ND DISTRICT"," 2,354",NA,"BUGARING, REXIE EFREN A.","REPORMA-LM",TRUE
"26","MAMBA, MANUEL N.               MANNY                               LAKAS NUCD-UMDP          57,235   May 19,2001","2/9","CAGAYAN","02","congressman","3RD DISTRICT"," 57,235","May 19,2001","MAMBA, MANUEL N.","LAKAS NUCD-UMDP",TRUE
"27","AGUINALDO, RODOLFO E.          AGI                                 NPC                      50,467","2/9","CAGAYAN","02","congressman","3RD DISTRICT"," 50,467",NA,"AGUINALDO, RODOLFO E.","NPC",TRUE
"28","PEREZ, JOSE A.                 BOY                                 INDEPENDENT               141","2/9","CAGAYAN","02","congressman","3RD DISTRICT"," 141",NA,"PEREZ, JOSE A.","INDEPENDENT",TRUE
"29","LARA, EDGAR R.                 ED LARA                             NPC                     123,463   May 19,2001","2/9","CAGAYAN","02","governor",""," 123,463","May 19,2001","LARA, EDGAR R.","NPC",TRUE
"30","TING, DELFIN T.                DELFIN                              LAKAS NUCD-UMDP          55,207","2/9","CAGAYAN","02","governor",""," 55,207",NA,"TING, DELFIN T.","LAKAS NUCD-UMDP",TRUE
"31","VARGAS, FLORENCIO L.           ENCIONG                             PMP                      23,716","2/9","CAGAYAN","02","governor",""," 23,716",NA,"VARGAS, FLORENCIO L.","PMP",TRUE
"32","DELOS SANTOS, JOVEN P.         JOVEN                               INDEPENDENT                75","2/9","CAGAYAN","02","governor",""," 75",NA,"DELOS SANTOS, JOVEN P.","INDEPENDENT",TRUE
"33","PAGULAYAN, OSCAR T.            OCA                                 LDP                     169,273   May 19,2001","2/9","CAGAYAN","02","vice governor",""," 169,273","May 19,2001","PAGULAYAN, OSCAR T.","LDP",TRUE
"34","BALIGOD, JONATHAN F.           JFB                                 NPC                      23,637","2/9","CAGAYAN","02","vice governor",""," 23,637",NA,"BALIGOD, JONATHAN F.","NPC",TRUE
"35","COMBATE, VALERIANO R.          VAL                                 LAKAS NUCD-UMDP          16,761","2/9","CAGAYAN","02","vice governor",""," 16,761",NA,"COMBATE, VALERIANO R.","LAKAS NUCD-UMDP",TRUE
"36","BACUYAG, JENERWIN C.           ERWIN                               NPC                      33,193   May 18,2001","2/9","CAGAYAN","02","board member","1ST DISTRICT"," 33,193","May 18,2001","BACUYAG, JENERWIN C.","NPC",TRUE
"37","AGATEP, NORMAN A.              NORMAN                              NPC                      27,400   May 18,2001","2/9","CAGAYAN","02","board member","1ST DISTRICT"," 27,400","May 18,2001","AGATEP, NORMAN A.","NPC",TRUE
"38","PUYAOAN, WILSON O.             WILLY                               PMP                      25,818   May 18,2001","2/9","CAGAYAN","02","board member","1ST DISTRICT"," 25,818","May 18,2001","PUYAOAN, WILSON O.","PMP",TRUE
"39","ISRAEL, SIMEON JR. O.          JUN                                 PMP                      23,985","2/9","CAGAYAN","02","board member","1ST DISTRICT"," 23,985",NA,"ISRAEL, SIMEON JR. O.","PMP",TRUE
"40","PAGULAYAN, ALEXANDER C.        ALEX                                PMP                      22,188","2/9","CAGAYAN","02","board member","1ST DISTRICT"," 22,188",NA,"PAGULAYAN, ALEXANDER C.","PMP",TRUE
"41","JAVIER, HONORATO D.            ONO                                 LDP                      20,929","2/9","CAGAYAN","02","board member","1ST DISTRICT"," 20,929",NA,"JAVIER, HONORATO D.","LDP",TRUE
"42","UDARBE, GALITO R.                 GALO                                NPC                      15,718","3/9","CAGAYAN","02","board member","1ST DISTRICT"," 15,718",NA,"UDARBE, GALITO R.","NPC",TRUE
"43","ARCE, MARUEL G.                   MAR                                 INDEPENDENT              12,074","3/9","CAGAYAN","02","board member","1ST DISTRICT"," 12,074",NA,"ARCE, MARUEL G.","INDEPENDENT",TRUE
"44","GUILLERMO, SONNY F.               SONNY                               LAKAS NUCD-UMDP          6,472","3/9","CAGAYAN","02","board member","1ST DISTRICT"," 6,472",NA,"GUILLERMO, SONNY F.","LAKAS NUCD-UMDP",TRUE
"45","GOROSPE, ROBERTO U.               BERTO                               INDEPENDENT              3,668","3/9","CAGAYAN","02","board member","1ST DISTRICT"," 3,668",NA,"GOROSPE, ROBERTO U.","INDEPENDENT",TRUE
"46","TAPIRU, FOTUNATO JR. C.           JUN                                 INDEPENDENT              1,099","3/9","CAGAYAN","02","board member","1ST DISTRICT"," 1,099",NA,"TAPIRU, FOTUNATO JR. C.","INDEPENDENT",TRUE
"47","FERNANDEZ, ESTRELLA P.            COLING                              LDP                      24,423   May 18,2001","3/9","CAGAYAN","02","board member","2ND DISTRICT"," 24,423","May 18,2001","FERNANDEZ, ESTRELLA P.","LDP",TRUE
"48","CAYOSA, ALDEGUNDO JR. Q.          ALI                                 INDEPENDENT              23,217   May 18,2001","3/9","CAGAYAN","02","board member","2ND DISTRICT"," 23,217","May 18,2001","CAYOSA, ALDEGUNDO JR. Q.","INDEPENDENT",TRUE
"49","VILLORIA, VILMER V.                                                   NPC                      22,877   May 18,2001","3/9","CAGAYAN","02","board member","2ND DISTRICT"," 22,877","May 18,2001","VILLORIA, VILMER V.","",TRUE
