"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ADIONG, MAMINTAL M.            MIKE                                LAKAS-NUCD               32,489 November 9,1992","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 32,489","November 9,1992","ADIONG, MAMINTAL M.","LAKAS-NUCD",TRUE
"2","LUCMAN, OMERA HAFIDAH D.                                           NUCD-UMDP                31,304","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 31,304",NA,"LUCMAN, OMERA HAFIDAH D.","",TRUE
"3","GUTOC, TOMANINA A.                                                 NUCD                     25,166","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 25,166",NA,"GUTOC, TOMANINA A.","",TRUE
"4","SARIP, TAGO R.                                                     LDP                      22,764","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 22,764",NA,"SARIP, TAGO R.","",TRUE
"5","ALONTO, ABUL KHAYR D.                                              MFP-NP                   11,999","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 11,999",NA,"ALONTO, ABUL KHAYR D.","",TRUE
"6","CALACA, SULTAN MESUG D.                                            NPC-PP                   5,596","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 5,596",NA,"CALACA, SULTAN MESUG D.","",TRUE
"7","MAGARANG, ABDULGAFFAR BUSAR M.                                     IND-NP-KBL               1,031","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 1,031",NA,"MAGARANG, ABDULGAFFAR BUSAR M.","",TRUE
"8","NAGA, ISMAEL JR. A.                                                PMP                      1,004","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 1,004",NA,"NAGA, ISMAEL JR. A.","",TRUE
"9","PANARIGAN, MOHAMAD-LOMALA M.                                       PMP                       837","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 837",NA,"PANARIGAN, MOHAMAD-LOMALA M.","",TRUE
"10","TAULO, IMADDODIN TOGOD A.                                          PSP                       515","1/11","LANAO DEL SUR","ARMM","congressman","1ST DISTRICT"," 515",NA,"TAULO, IMADDODIN TOGOD A.","",TRUE
"11","DIMAPORO, MOHAMAD ALI B.       ALI                                 KBL                      18,209 December 11,1992","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 18,209","December 11,1992","DIMAPORO, MOHAMAD ALI B.","KBL",TRUE
"12","DIPATUAN, PALA T.                                                  LDP                      17,516","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 17,516",NA,"DIPATUAN, PALA T.","",TRUE
"13","ALAUYA, SAADUDDIN A.                                               OMPIA-LAKAS-NUCD-UMDP    16,027","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 16,027",NA,"ALAUYA, SAADUDDIN A.","OMPIA-LAKAS-NUCD-UMDP",FALSE
"14","BALINDONG, LOMALA M.                                               LAKAS-NUCD               15,512","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 15,512",NA,"BALINDONG, LOMALA M.","",TRUE
"15","LUCMAN, JAMIL P.                                                   INDEPENDENT              13,988","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 13,988",NA,"LUCMAN, JAMIL P.","",TRUE
"16","BALINDONG, MOHAMAD ALI M.                                          LAKAS-NUCD               6,803","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 6,803",NA,"BALINDONG, MOHAMAD ALI M.","",TRUE
"17","MALIK, JACOB T.                                                    IND/NP-KBL               2,156","1/11","LANAO DEL SUR","ARMM","congressman","2ND DISTRICT"," 2,156",NA,"MALIK, JACOB T.","",TRUE
