"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","PAYUMO, FELICITO C.          TONG                             LP-PDP LABAN             47,939   May 18,1992","1/16","BATAAN","03","congressman","1ST DISTRICT"," 47,939","May 18,1992","PAYUMO, FELICITO C.","LP-PDP LABAN",TRUE
"2","ROMAN, ANTONIO JR. P.                                         LP-PDP                   34,103","1/16","BATAAN","03","congressman","1ST DISTRICT"," 34,103",NA,"ROMAN, ANTONIO JR. P.","",TRUE
"3","CANLAPAN, LORETO V.                                           KBL                        0","1/16","BATAAN","03","congressman","1ST DISTRICT"," 0",NA,"CANLAPAN, LORETO V.",NA,NA
"4","VENEGAS, DOMINADOR N.        DOMING                           NPC                      33,907   May 20,1992","1/16","BATAAN","03","congressman","2ND DISTRICT"," 33,907","May 20,1992","VENEGAS, DOMINADOR N.","NPC",TRUE
"5","ROMAN, PABLO JR B.                                            LDP                      30,535","1/16","BATAAN","03","congressman","2ND DISTRICT"," 30,535",NA,"ROMAN, PABLO JR B.","",TRUE
"6","GONZALES, NORBERTO B.                                         LAKAS-NUCD               16,772","1/16","BATAAN","03","congressman","2ND DISTRICT"," 16,772",NA,"GONZALES, NORBERTO B.","",TRUE
"7","DE GUZMAN, FLORENCIO O.                                       KBL                      2,430","1/16","BATAAN","03","congressman","2ND DISTRICT"," 2,430",NA,"DE GUZMAN, FLORENCIO O.","",TRUE
"8","GARCIA, ENRIQUE JR. T.       TET                              NPC                      95,396   May 20,1992","1/16","BATAAN","03","governor",""," 95,396","May 20,1992","GARCIA, ENRIQUE JR. T.","NPC",TRUE
"9","*ROMAN, LEONARDO B.                                            LDP                      73,958   June 28,1994 DECEMBER 20, 1993 RECALL ELECTIONS","1/16","BATAAN","03","governor",""," 73,958","June 28,1994","*ROMAN, LEONARDO B.","",TRUE
"10","NAVARRO, RUFINO F.                                            KBL                       505","1/16","BATAAN","03","governor",""," 505",NA,"NAVARRO, RUFINO F.","",TRUE
"11","GUEVARRA, RICARDO C.                                          KBL                       352","1/16","BATAAN","03","governor",""," 352",NA,"GUEVARRA, RICARDO C.","",TRUE
"12","PASCUAL, EFREN JR. B.        BONJONG                          NPC                      85,895   May 20,1992","1/16","BATAAN","03","vice governor",""," 85,895","May 20,1992","PASCUAL, EFREN JR. B.","NPC",TRUE
"13","ROMAN, SERAFIN Q.                                             LP-PDP                   77,794","1/16","BATAAN","03","vice governor",""," 77,794",NA,"ROMAN, SERAFIN Q.","",TRUE
"14","VENEGAS, ERNESTO G.                                           KBL                      1,170","1/16","BATAAN","03","vice governor",""," 1,170",NA,"VENEGAS, ERNESTO G.","",TRUE
"15","IZON, RODOLFO S.             ROD                              LP-PDP-LDP               43,513   May 18,1992","1/16","BATAAN","03","board member","1ST DISTRICT"," 43,513","May 18,1992","IZON, RODOLFO S.","LP-PDP-LDP",TRUE
"16","ALONZO, BENJAMIN N.          BEN                              LP-PDP LABAN-LDP         38,519   May 18,1992","1/16","BATAAN","03","board member","1ST DISTRICT"," 38,519","May 18,1992","ALONZO, BENJAMIN N.","LP-PDP LABAN-LDP",TRUE
