"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ABLAN, ROQUE JR. R.           ROQUE                              KBL                      48,546   May 22,1992","1/10","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 48,546","May 22,1992","ABLAN, ROQUE JR. R.","KBL",TRUE
"2","MARCOS, LITA L.                                                  NPC-KBL                  21,641","1/10","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 21,641",NA,"MARCOS, LITA L.","",TRUE
"3","AGUILAR, VICTOR U.                                               LDP                      13,516","1/10","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 13,516",NA,"AGUILAR, VICTOR U.","",TRUE
"4","RUIZ, ALFONSO J                                                  LAKAS-NUCD               5,637","1/10","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 5,637",NA,"RUIZ, ALFONSO J","",TRUE
"5","BLANKAS, SAMSON JR. -                                            INDEPENDENT                50","1/10","ILOCOS NORTE","01","congressman","1ST DISTRICT"," 50",NA,"BLANKAS, SAMSON JR. -","",TRUE
"6","MARCOS, FERDINAND JR. R.      BONG-BONG                          KBL                      76,605   May 21,1992","1/10","ILOCOS NORTE","01","congressman","2ND DISTRICT"," 76,605","May 21,1992","MARCOS, FERDINAND JR. R.","KBL",TRUE
"7","SALVA, EMERITO M.                                                LAKAS-NUCD               7,451","1/10","ILOCOS NORTE","01","congressman","2ND DISTRICT"," 7,451",NA,"SALVA, EMERITO M.","",TRUE
"8","MANGABAN, GERONIMO -                                             LP-PDP                     30","1/10","ILOCOS NORTE","01","congressman","2ND DISTRICT"," 30",NA,"MANGABAN, GERONIMO -","",TRUE
"9","FARIÑAS, RODOLFO C.           RUDY                               INDEPENDENT             120,179   May 27,1992","1/10","ILOCOS NORTE","01","governor",""," 120,179","May 27,1992","FARIÑAS, RODOLFO C.","INDEPENDENT",TRUE
"10","ABADILLA, ROLANDO -                                              NDP-KBL                  51,724","1/10","ILOCOS NORTE","01","governor",""," 51,724",NA,"ABADILLA, ROLANDO -","",TRUE
"11","VALDEZ, SIMEON M.                                                LAKAS-NUCD                503","1/10","ILOCOS NORTE","01","governor",""," 503",NA,"VALDEZ, SIMEON M.","",TRUE
"12","RAVAL, CASTOR -                                                  LDP/KBL/IND               133","1/10","ILOCOS NORTE","01","governor",""," 133",NA,"RAVAL, CASTOR -","",TRUE
"13","NALUPTA, MARIANO JR. -                                           INDEPENDENT             139,528   May 27,1992","1/10","ILOCOS NORTE","01","vice governor",""," 139,528","May 27,1992","NALUPTA, MARIANO JR. -","",TRUE
"14","BENEMERITO, RAFAEL R.                                            NPC-KBL                  26,411","1/10","ILOCOS NORTE","01","vice governor",""," 26,411",NA,"BENEMERITO, RAFAEL R.","",TRUE
"15","LAZO, ROSARIO -                                                  LAKAS-NUCD               3,346","1/10","ILOCOS NORTE","01","vice governor",""," 3,346",NA,"LAZO, ROSARIO -","",TRUE
"16","CABIE, BENJAMIN -                                                INDEPENDENT              1,851","1/10","ILOCOS NORTE","01","vice governor",""," 1,851",NA,"CABIE, BENJAMIN -","",TRUE
"17","ADINA, CESAR -                                                   LDP                       259","1/10","ILOCOS NORTE","01","vice governor",""," 259",NA,"ADINA, CESAR -","",TRUE
"18","RAQUIZA, ANTONIO JR. -                                           IND-NPC-KBL               234","1/10","ILOCOS NORTE","01","vice governor",""," 234",NA,"RAQUIZA, ANTONIO JR. -","",TRUE
"19","VENTURA, FLORENTINA -                                            INDEPENDENT               115","1/10","ILOCOS NORTE","01","vice governor",""," 115",NA,"VENTURA, FLORENTINA -","",TRUE
"20","SANTOS, EDWARD A.             EDDIE                              LDP                      39,374   May 27,1992","1/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 39,374","May 27,1992","SANTOS, EDWARD A.","LDP",TRUE
"21","SALES, FLORENCIO B.           FLORING                            LDP                      37,329   May 27,1992","1/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 37,329","May 27,1992","SALES, FLORENCIO B.","LDP",TRUE
"22","BLANCO, ALMA P.               ALMI                               NPC-KBL                  36,733   May 27,1992","1/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 36,733","May 27,1992","BLANCO, ALMA P.","NPC-KBL",TRUE
"23","BARNIDO, JULIO J.             JULY                               KBL                      35,751   May 27,1992","1/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 35,751","May 27,1992","BARNIDO, JULIO J.","KBL",TRUE
"24","RESPICIO, ANGEL A.           ANGEL                           LDP                      35,590   May 27,1992","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 35,590","May 27,1992","RESPICIO, ANGEL A.","LDP",TRUE
"25","BANGLOY, SAMUEL -                                            NPC-KBL                  35,263","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 35,263",NA,"BANGLOY, SAMUEL -","",TRUE
"26","DE PEDRO, NEMESIO III -                                      KBL                      27,278","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 27,278",NA,"DE PEDRO, NEMESIO III -","",TRUE
"27","ARQUILLO, MACARIO -                                          NPC-KBL                  22,870","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 22,870",NA,"ARQUILLO, MACARIO -","",TRUE
"28","CORPUZ, SOFIA -                                              NPC-KBL                  18,745","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 18,745",NA,"CORPUZ, SOFIA -","",TRUE
"29","ALIMBUYUGAN, RAFAEL -                                        NPC                      16,074","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 16,074",NA,"ALIMBUYUGAN, RAFAEL -","",TRUE
"30","LAZO, VICENTITO -                                            INDEPENDENT              14,336","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 14,336",NA,"LAZO, VICENTITO -","",TRUE
"31","MADAMBA, ISIDRO -                                            LAKAS-NUCD               12,398","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 12,398",NA,"MADAMBA, ISIDRO -","",TRUE
"32","TEJADA, ONOFRE -                                             LAKAS-NUCD               9,806","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 9,806",NA,"TEJADA, ONOFRE -","",TRUE
"33","CULIG, FRANCISCO -                                           LAKAS-NUCD               5,186","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 5,186",NA,"CULIG, FRANCISCO -","",TRUE
"34","SIAZON, DENNIS -                                             INDEPENDENT              3,999","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 3,999",NA,"SIAZON, DENNIS -","",TRUE
"35","SIAZON, NESTOR -                                             KBL                      3,008","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 3,008",NA,"SIAZON, NESTOR -","",TRUE
"36","SALVADOR, ERASMO -                                           PRP                      1,235","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 1,235",NA,"SALVADOR, ERASMO -","",TRUE
"37","CU, MELCHOR -                                                LP-PDP-LABAN              658","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 658",NA,"CU, MELCHOR -","",TRUE
"38","BORROMEO, ELPIDIO -                                          INDEPENDENT                51","2/10","ILOCOS NORTE","01","board member","1ST DISTRICT"," 51",NA,"BORROMEO, ELPIDIO -","",TRUE
