"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","LAGMAN, EDCEL C.             EDCEL                            LDP                      52,051   May 24,1992","1/18","ALBAY","05","congressman","1ST DISTRICT"," 52,051","May 24,1992","LAGMAN, EDCEL C.","LDP",TRUE
"2","BETITO, ANTONIO B.                                            LP-PDP                   34,741","1/18","ALBAY","05","congressman","1ST DISTRICT"," 34,741",NA,"BETITO, ANTONIO B.","",TRUE
"3","MADRILEJOS, JOSE JR A.                                        NUCD                     4,658","1/18","ALBAY","05","congressman","1ST DISTRICT"," 4,658",NA,"MADRILEJOS, JOSE JR A.","",TRUE
"4","KALLOS, NELSON E.                                             KBL                       501","1/18","ALBAY","05","congressman","1ST DISTRICT"," 501",NA,"KALLOS, NELSON E.","",TRUE
"5","ZEPEDA, YSMAEL B.                                             PMP                       212","1/18","ALBAY","05","congressman","1ST DISTRICT"," 212",NA,"ZEPEDA, YSMAEL B.","",TRUE
"6","CASIL, JUAN M.                                                KBL                        24","1/18","ALBAY","05","congressman","1ST DISTRICT"," 24",NA,"CASIL, JUAN M.","",TRUE
"7","IMPERIAL, CARLOS R.          CARLING                          NPC                      54,602   May 23,1992","1/18","ALBAY","05","congressman","2ND DISTRICT"," 54,602","May 23,1992","IMPERIAL, CARLOS R.","NPC",TRUE
"8","BALDO, HERNANDEZ E.                                           LDP                      40,098","1/18","ALBAY","05","congressman","2ND DISTRICT"," 40,098",NA,"BALDO, HERNANDEZ E.","",TRUE
"9","JOSUE, FLORDELIZ M.                                           KBL                      1,716","1/18","ALBAY","05","congressman","2ND DISTRICT"," 1,716",NA,"JOSUE, FLORDELIZ M.","",TRUE
"10","DELOS REYES, IRENEO M.                                        NUCD                     1,269","1/18","ALBAY","05","congressman","2ND DISTRICT"," 1,269",NA,"DELOS REYES, IRENEO M.","",TRUE
"11","BICHARA, AL FRANCIS C.       AL                               NPC                      36,788   May 22,1992","1/18","ALBAY","05","congressman","3RD DISTRICT"," 36,788","May 22,1992","BICHARA, AL FRANCIS C.","NPC",TRUE
"12","SARTE, JUAN S.                                                PMP                      14,802","1/18","ALBAY","05","congressman","3RD DISTRICT"," 14,802",NA,"SARTE, JUAN S.","",TRUE
"13","MATIAS, BENJAMIN O.                                           NUCD                     12,372","1/18","ALBAY","05","congressman","3RD DISTRICT"," 12,372",NA,"MATIAS, BENJAMIN O.","",TRUE
"14","PAGLINAWAN, DONARDO R.                                        LDP                      9,963","1/18","ALBAY","05","congressman","3RD DISTRICT"," 9,963",NA,"PAGLINAWAN, DONARDO R.","",TRUE
"15","RAMIN, ROBERTO R.                                             INDEPENDENT              3,811","1/18","ALBAY","05","congressman","3RD DISTRICT"," 3,811",NA,"RAMIN, ROBERTO R.","",TRUE
"16","FERRER-CALLEJA, PURA L.                                       LP-PDP                   2,462","1/18","ALBAY","05","congressman","3RD DISTRICT"," 2,462",NA,"FERRER-CALLEJA, PURA L.","",TRUE
"17","BURGOS, SENEN S.                                              INDEPENDENT              1,885","1/18","ALBAY","05","congressman","3RD DISTRICT"," 1,885",NA,"BURGOS, SENEN S.","",TRUE
"18","OPIDA, LEONCIO -                                              NPC-PP                    440","1/18","ALBAY","05","congressman","3RD DISTRICT"," 440",NA,"OPIDA, LEONCIO -","",TRUE
