"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ERMITA, EDUARDO R.           GEN. ERMITA                          NUCD                     43,120   May 22,1992","1/29","BATANGAS","04","congressman","1ST DISTRICT"," 43,120","May 22,1992","ERMITA, EDUARDO R.","NUCD",TRUE
"2","CABRERA, ROBERTO V.                                               NP                       33,574","1/29","BATANGAS","04","congressman","1ST DISTRICT"," 33,574",NA,"CABRERA, ROBERTO V.","",TRUE
"3","APACIBLE, CONRADO V.                                              LDP                      31,736","1/29","BATANGAS","04","congressman","1ST DISTRICT"," 31,736",NA,"APACIBLE, CONRADO V.","",TRUE
"4","DE CASTRO, HERMOGENES JR. C.                                      INDEPENDENT              22,815","1/29","BATANGAS","04","congressman","1ST DISTRICT"," 22,815",NA,"DE CASTRO, HERMOGENES JR. C.","",TRUE
"5","SUAREZ, ROLANDO A.                                                LDP                      3,752","1/29","BATANGAS","04","congressman","1ST DISTRICT"," 3,752",NA,"SUAREZ, ROLANDO A.","",TRUE
"6","PEREZ, HERNANDO B.           NANI                                 LDP                      76,692   May 22,1992","1/29","BATANGAS","04","congressman","2ND DISTRICT"," 76,692","May 22,1992","PEREZ, HERNANDO B.","LDP",TRUE
"7","ATIENZA, JOSE M.                                                  NP                       55,329","1/29","BATANGAS","04","congressman","2ND DISTRICT"," 55,329",NA,"ATIENZA, JOSE M.","",TRUE
"8","TRINIDAD, MILAGROS L.        LALLY                                NP                       71,532   May 20,1992","1/29","BATANGAS","04","congressman","3RD DISTRICT"," 71,532","May 20,1992","TRINIDAD, MILAGROS L.","NP",TRUE
"9","CARANDANG, DANTE A.                                               LDP                      43,539","1/29","BATANGAS","04","congressman","3RD DISTRICT"," 43,539",NA,"CARANDANG, DANTE A.","",TRUE
"10","RECTO, RALPH G.              MR. VILMA SANTOS                     NP                       39,224   May 18,1992","1/29","BATANGAS","04","congressman","4TH DISTRICT"," 39,224","May 18,1992","RECTO, RALPH G.","NP",TRUE
"11","LACDAO, ANTONIO D.                                                LDP                      36,892","1/29","BATANGAS","04","congressman","4TH DISTRICT"," 36,892",NA,"LACDAO, ANTONIO D.","",TRUE
"12","KATIGBAK, NICETAS S.                                              NUCD                     30,367","1/29","BATANGAS","04","congressman","4TH DISTRICT"," 30,367",NA,"KATIGBAK, NICETAS S.","",TRUE
"13","GUALBERTO, CRISANTO S.                                            NPC                      30,186","1/29","BATANGAS","04","congressman","4TH DISTRICT"," 30,186",NA,"GUALBERTO, CRISANTO S.","",TRUE
"14","MERCADO, EFREN H.                                                 LP-PDP                   7,672","1/29","BATANGAS","04","congressman","4TH DISTRICT"," 7,672",NA,"MERCADO, EFREN H.","",TRUE
