"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","BADELLES, MARIANO SR. LL.      NANO                           LDP                      71,810   May 22,1992","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 71,810","May 22,1992","BADELLES, MARIANO SR. LL.","LDP",TRUE
"2","CABILI, LEONORA A.                                            LAKAS-NUCD               26,496","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 26,496",NA,"CABILI, LEONORA A.","",TRUE
"3","FLORES, ALAN L.                                               KBL                      4,923","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 4,923",NA,"FLORES, ALAN L.","",TRUE
"4","CEJUDO, ALFONSO G.                                            INDEPENDENT              1,056","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 1,056",NA,"CEJUDO, ALFONSO G.","",TRUE
"5","SANGUILA, HIROHITO M.                                         LP-PDP                    971","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 971",NA,"SANGUILA, HIROHITO M.","",TRUE
"6","ABELLANOSA, FELIXBERTO M.                                     NP                        854","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 854",NA,"ABELLANOSA, FELIXBERTO M.","",TRUE
"7","ZALSOS, ERROL V.                                              NPC                        10","1/10","LANAO DEL NORTE","12","congressman","1ST DISTRICT"," 10",NA,"ZALSOS, ERROL V.","",TRUE
"8","LANTO, MACABANGKIT B.          MAC                            NUCD                     19,990   May 22,1992","1/10","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 19,990","May 22,1992","LANTO, MACABANGKIT B.","NUCD",TRUE
"9","HISULER, MARIO E.                                             LDP                      18,621","1/10","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 18,621",NA,"HISULER, MARIO E.","",TRUE
"10","MANGOTARA, ABDULLAH S.                                        NPC                      15,048","1/10","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 15,048",NA,"MANGOTARA, ABDULLAH S.","",TRUE
"11","MACA-AMPAO, MACALAWAN K.                                      LP-PDP-LABAN             6,216","1/10","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 6,216",NA,"MACA-AMPAO, MACALAWAN K.","",TRUE
"12","UMPA, MASARANGA R.                                            LAKAS-NUCD-UMDP          4,900","1/10","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 4,900",NA,"UMPA, MASARANGA R.","",TRUE
"13","PACASUM, PUTRI ALI -                                          -                         963","1/10","LANAO DEL NORTE","12","congressman","2ND DISTRICT"," 963",NA,"PACASUM, PUTRI ALI -","-",FALSE
