"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","ZAPATA, JEREMIAS Z.           JERING                           LAKAS-NUCD               31,731   May 16,1992","1/13","ABRA","CAR","congressman",NA," 31,731","May 16,1992","ZAPATA, JEREMIAS Z.","LAKAS-NUCD",TRUE
"2","BENESA, ALBERTO -                                              KBL                      16,996","1/13","ABRA","CAR","congressman",NA," 16,996",NA,"BENESA, ALBERTO -","",TRUE
"3","BERNARDEZ, RUDOLFO A.                                          NPC                      9,264","1/13","ABRA","CAR","congressman",NA," 9,264",NA,"BERNARDEZ, RUDOLFO A.","",TRUE
"4","BRINGAS, BENJAMIN -                                            NPC                      6,342","1/13","ABRA","CAR","congressman",NA," 6,342",NA,"BRINGAS, BENJAMIN -","",TRUE
"5","VALERA, VICENTE P.                                             LAKAS-NUCD               43,259   May 16,1992","1/13","ABRA","CAR","governor",""," 43,259","May 16,1992","VALERA, VICENTE P.","",TRUE
"6","BARBERO, ARTURO B.                                             KBL/NP/NPC               18,658","1/13","ABRA","CAR","governor",""," 18,658",NA,"BARBERO, ARTURO B.","",TRUE
"7","MASAOAY, NESTOR B.                                             NPC/PP/KBL               7,672","1/13","ABRA","CAR","governor",""," 7,672",NA,"MASAOAY, NESTOR B.","",TRUE
"8","CASIA, CATALINA B.                                             KBL                      3,737","1/13","ABRA","CAR","governor",""," 3,737",NA,"CASIA, CATALINA B.","",TRUE
"9","VALERA, LUIS CHIT -                                            PMP                       228","1/13","ABRA","CAR","governor",""," 228",NA,"VALERA, LUIS CHIT -","",TRUE
"10","CULANGEN, CONSTANTE B.                                         NUCD                     23,099   May 16,1992","1/13","ABRA","CAR","vice governor",""," 23,099","May 16,1992","CULANGEN, CONSTANTE B.","",TRUE
"11","ABAYA, PATROCINIO JR. B.                                       KBL/NP/NPC               21,516","1/13","ABRA","CAR","vice governor",""," 21,516",NA,"ABAYA, PATROCINIO JR. B.","",TRUE
"12","SEARES, ROBERTO S.                                             NPC/PP/GAD/KBL           14,644","1/13","ABRA","CAR","vice governor",""," 14,644",NA,"SEARES, ROBERTO S.","",TRUE
"13","VENUS, CONRADO L.                                              KBL                      7,677","1/13","ABRA","CAR","vice governor",""," 7,677",NA,"VENUS, CONRADO L.","",TRUE
"14","AGAID, JOSE P.                                                 PMP                       522","1/13","ABRA","CAR","vice governor",""," 522",NA,"AGAID, JOSE P.","",TRUE
