"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","RAMIREZ, JOSE T.            JOE                              LAKAS-NUCD               34,133   May 22,1992","1/15","EASTERN SAMAR","08","congressman",NA," 34,133","May 22,1992","RAMIREZ, JOSE T.","LAKAS-NUCD",TRUE
"2","FLORES, CASIANO O.                                           LP-PDP                   20,086","1/15","EASTERN SAMAR","08","congressman",NA," 20,086",NA,"FLORES, CASIANO O.","",TRUE
"3","TAN, RUFINO L.                                               LDP                      17,189","1/15","EASTERN SAMAR","08","congressman",NA," 17,189",NA,"TAN, RUFINO L.","",TRUE
"4","TORRES, IRENEO L.                                            NP                       11,015","1/15","EASTERN SAMAR","08","congressman",NA," 11,015",NA,"TORRES, IRENEO L.","",TRUE
"5","BOCAS, JUAN A.                                               KBL/KUSOG                  86","1/15","EASTERN SAMAR","08","congressman",NA," 86",NA,"BOCAS, JUAN A.","",TRUE
"6","BARBO, LUTGARDO B.          LUTZ                             LAKAS-NUCD/PDP           25,164   May 22,1992","1/15","EASTERN SAMAR","08","governor",""," 25,164","May 22,1992","BARBO, LUTGARDO B.","LAKAS-NUCD/PDP",TRUE
"7","EVARDONE, FELIPE P.                                          LDP                      23,390","1/15","EASTERN SAMAR","08","governor",""," 23,390",NA,"EVARDONE, FELIPE P.","",TRUE
"8","VALLEY, VICENTE O.                                           NPC/PP/KBL               21,838","1/15","EASTERN SAMAR","08","governor",""," 21,838",NA,"VALLEY, VICENTE O.","",TRUE
"9","OPINION, JAIME C.                                            KUSOG/KBL                16,429","1/15","EASTERN SAMAR","08","governor",""," 16,429",NA,"OPINION, JAIME C.","",TRUE
"10","MUNTES, ALMARIO A.                                           LP-PDP                   6,146","1/15","EASTERN SAMAR","08","governor",""," 6,146",NA,"MUNTES, ALMARIO A.","",TRUE
"11","LIBANAN, MARCELINO C.       NONOY                            LAKAS-NUCD               31,896   May 22,1992","1/15","EASTERN SAMAR","08","vice governor",""," 31,896","May 22,1992","LIBANAN, MARCELINO C.","LAKAS-NUCD",TRUE
"12","CAMENFORTE, CAMILO A.                                        KUSOG/KBL                14,257","1/15","EASTERN SAMAR","08","vice governor",""," 14,257",NA,"CAMENFORTE, CAMILO A.","",TRUE
"13","DOCENA, AGUSTIN B.                                           NPC                      13,815","1/15","EASTERN SAMAR","08","vice governor",""," 13,815",NA,"DOCENA, AGUSTIN B.","",TRUE
"14","SABATE, CELESTINO B.                                         LDP                      13,374","1/15","EASTERN SAMAR","08","vice governor",""," 13,374",NA,"SABATE, CELESTINO B.","",TRUE
"15","MORALLOS, INOCENCIO R.                                       LP-PDP                   3,052","1/15","EASTERN SAMAR","08","vice governor",""," 3,052",NA,"MORALLOS, INOCENCIO R.","",TRUE
"16","MENGOTE, FEDERICO O.        PECOY                            NPC                      11,495   May 22,1992","1/15","EASTERN SAMAR","08","board member","1ST DISTRICT"," 11,495","May 22,1992","MENGOTE, FEDERICO O.","NPC",TRUE
"17","ALCONABA, REYNALDO A.       NAYDO                            LDP                      10,387   May 22,1992","1/15","EASTERN SAMAR","08","board member","1ST DISTRICT"," 10,387","May 22,1992","ALCONABA, REYNALDO A.","LDP",TRUE
"18","AMPONG, PANFILO S.          PAMPING                          NPC                      9,396    May 22,1992","1/15","EASTERN SAMAR","08","board member","1ST DISTRICT"," 9,396","May 22,1992","AMPONG, PANFILO S.","NPC",TRUE
"19","GERNA, NONATO A.            TATONG                           LAKAS-NUCD               9,024    May 22,1992","1/15","EASTERN SAMAR","08","board member","1ST DISTRICT"," 9,024","May 22,1992","GERNA, NONATO A.","LAKAS-NUCD",TRUE
"20","KHO, ISMAEL G.                                               NUCD                     7,582","1/15","EASTERN SAMAR","08","board member","1ST DISTRICT"," 7,582",NA,"KHO, ISMAEL G.","",TRUE
"21","ALIDO, MARCOS B.                                             NUCD                     7,478","1/15","EASTERN SAMAR","08","board member","1ST DISTRICT"," 7,478",NA,"ALIDO, MARCOS B.","",TRUE
