"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"1","AGANA, VENICE B.               VENICE                             LAKAS-NUCD               47,684   May 16,1992","1/12","BOHOL","07","congressman","1ST DISTRICT"," 47,684","May 16,1992","AGANA, VENICE B.","LAKAS-NUCD",TRUE
"2","HERRERA, JULIUS CAESAR F.                                         LDP                      32,387","1/12","BOHOL","07","congressman","1ST DISTRICT"," 32,387",NA,"HERRERA, JULIUS CAESAR F.","",TRUE
"3","RUBILLAR, JACINTO JR. I.                                          NP/PP/NPC                20,743","1/12","BOHOL","07","congressman","1ST DISTRICT"," 20,743",NA,"RUBILLAR, JACINTO JR. I.","",TRUE
"4","RENGEL, FELIX T.                                                  PDP                      4,143","1/12","BOHOL","07","congressman","1ST DISTRICT"," 4,143",NA,"RENGEL, FELIX T.","",TRUE
"5","GARAY, FORTUNATO N.                                               LP                       1,343","1/12","BOHOL","07","congressman","1ST DISTRICT"," 1,343",NA,"GARAY, FORTUNATO N.","",TRUE
"6","CEBALLOS, CESAR -                                                 INDEPENDENT              1,083","1/12","BOHOL","07","congressman","1ST DISTRICT"," 1,083",NA,"CEBALLOS, CESAR -","",TRUE
"7","CORTICO, FEFELINO -                                               INDEPENDENT               608","1/12","BOHOL","07","congressman","1ST DISTRICT"," 608",NA,"CORTICO, FEFELINO -","",TRUE
"8","ARCAMO, SAMUEL -                                                  KBL                       573","1/12","BOHOL","07","congressman","1ST DISTRICT"," 573",NA,"ARCAMO, SAMUEL -","",TRUE
"9","AUMENTADO, ERICO B.            RICO                               NP/NPC                   32,924   May 17,1992","1/12","BOHOL","07","congressman","2ND DISTRICT"," 32,924","May 17,1992","AUMENTADO, ERICO B.","NP/NPC",TRUE
"10","GARCIA, PRUDENCIO A.                                              LDP                      19,034","1/12","BOHOL","07","congressman","2ND DISTRICT"," 19,034",NA,"GARCIA, PRUDENCIO A.","",TRUE
"11","ALESNA, FRANCISCO JR. P.                                          LAKAS-NUCD               14,281","1/12","BOHOL","07","congressman","2ND DISTRICT"," 14,281",NA,"ALESNA, FRANCISCO JR. P.","",TRUE
